"","ActivityCategory","ActivityName","FormFieldType","Category","Name","Description","Units","AttributeValue","ReportingFrequency","LocationType","multipleAllowed","mandatory","sort"
"1","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"19","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"37","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"55","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"73","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"91","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"109","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"127","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"145","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"163","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"181","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"199","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"217","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"235","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"253","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"271","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"289","PROT[1]Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","Indicator","Indicator","# of reported incidents of deportation","","# of action taken","","Once","SyrRefRespRRP6","","",""
"2","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"20","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"38","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"56","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"74","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"92","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"110","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"128","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"146","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"164","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"182","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
