"","x"
"1","ACCTS"
"2","ACF"
"3","ACTED"
"4","ActionAid"
"5","ADRA"
"6","AHSI"
"7","AJA"
"8","AKWS"
"9","Al-ketab and Al-suneh"
"10","APS"
"11","Arabian Medical Relief"
"12","ARDD-LA"
"13","AVSI"
"14","AWO"
"15","BDC"
"16","BeDataDrive"
"17","BeDataDriven"
"18","Bright Future"
"19","British Embassy"
"20","CARE"
"21","Caritas"
"22","CCC/MoSD"
"23","CHF"
"24","CRP"
"25","CVT"
"26","DAHGCC"
"27","DAW"
"28","Default"
"29","DFID UKAID"
"30","DRC"
"31","EAC"
"32","ECHO"
"33","EMPHNET"
"34","FAO"
"35","FCA"
"36","FGAC"
"37","FI"
"38","FPD"
"39","FPSC"
"40","FRC"
"41","Gbl Communities "
"42","GCC"
"43","GERC"
"44","GRC"
"45","HA"
"46","HH"
"47","HI"
"48","HRF"
"49","ICCS"
"50","ICMC"
"51","ICRC"
"52","ICSC"
"53","IFRC"
"54","IFRC/SRC "
"55","ILO"
"56","IMC"
"57","Internews"
"58","Intersos"
"59","IOCC"
"60","IOM"
"61","IR"
"62","IRC"
"63","IRCKHF"
"64","IRD"
"65","IRW"
"66","Islamique"
"67","JC-HEM"
"68","JCLA "
"69","JEN"
"70","JHAS"
"71","JHCO"
"72","JICA"
"73","JOHUD"
"74","JP"
"75","JPA"
"76","JPS"
"77","JRC"
"78","JRF"
"79","JRS"
"80","KfW"
"81","KnK"
"82","KRP"
"83","LA"
"84","LDS"
"85","LFRD"
"86","Luminus "
"87","LWF"
"88","MA"
"89","MADRASATI "
"90","MDM"
"91","MECI"
"92","MEDAIR"
"93","Mercy Corps"
"94","MoE"
"95","MOH"
"96","MOPIC"
"97","MoWI"
"98","MPDL"
"99","MSF OCA"
"100","MSF-F"
"101","Muslim Aid"
"102","NEF"
"103","NHF-IFH"
"104","NICCOD"
"105","Noor Alhussein Foundation"
"106","NorwegianEmbassy"
"107","NRC"
"108","OCHA"
"109","OPM"
"110","OXFAM"
"111","PRM"
"112","PU-AMI"
"113","QRC"
"114","Quds College"
"115","Questscope"
"116","REACH"
"117","Relief Initiative"
"118","Rescate"
"119","RESCUE"
"120","RHAS"
"121","RI"
"122","RightToPlay"
"123","RNE"
"124","SAMS"
"125","Saudi Clinic"
"126","Save"
"127","SC Jordan"
"128","SCI"
"129","SDC"
"130","SEMA"
"131","SIF"
"132","SIREN"
"133","SRC"
"134","SRD"
"135","Taghyeer"
"136","Takaful"
"137","TDH"
"138","TDHI"
"139","TGH"
"140","ThirdReef"
"141","THW"
"142","Un Women"
"143","UN-ResidentCoord"
"144","UNDP"
"145","UNESCO"
"146","UNFPA"
"147","UNHABITAT"
"148","UNHCR"
"149","UNICEF"
"150","UNIDO"
"151","UNODC"
"152","UNOPS"
"153","UNRWA"
"154","UNWOMEN"
"155","UPP"
"156","USAID"
"157","Vento di Terra"
"158","WarChild Canada"
"159","WarChild UK"
"160","welovereading"
"161","WFP"
"162","WHO"
"163","World Relief Germany"
"164","WVI"
"165","YABC"
"166","YBC"
"167","ZENID"
"168","ZOA"
