"","indic","new"
"2","  receiving school snacks in camp schools","# receiving school snacks in camp schools"
"3"," # SGBV Survivors in camp who access and benefit from safe, confidential, and compassionate specialized multisectoral services","# SGBV Survivors in camp who access and benefit from specialized multisectoral services"
"4"," # benefiting from community-support project","# benefiting from community-support project"
"5"," # benefiting from improved access to safe water in schools and in the host communities.","# benefiting from improved access to safe water in schools and in the host communities."
"6"," # benefiting from improved access to water in schools and in the host communities","# benefiting from improved access to water in schools and in the host communities"
"7"," # benefiting from psychosocial support services (level 2 & 3)","# benefiting from psychosocial support services (level 2 & 3)"
"8"," # of  survivors benefitting from case management","# of survivors benefitting from case management"
"9"," # of survivors benefiting from safe shelters (institutional or community-based)","# of survivors benefiting from safe shelters (institutional or community-based)"
"10"," # of survivors receiving financial support","# of survivors receiving financial support"
"11"," # receiving essential sanitary items","# receiving essential sanitary items"
"12"," # receiving legal information, counseling and/or representation","# receiving legal information, counseling and/or representation"
"13"," # receiving legal information, counseling and/or representation  for other cases","# receiving legal information, counseling and/or representation for other cases"
"14"," # receiving legal information, counseling and/or representation for other cases","# receiving legal information, counseling and/or representation for other cases"
"15"," # receiving legal information, counseling and/or representation to detention cases","# receiving legal information, counseling and/or representation to detention cases"
"16"," # school aged registered in Jordanian public schools","# school aged registered in Jordanian public schools"
"17"," # sensitized on GBV issues, services available and referral pathways","# sensitized on GBV issues, services available and referral pathways"
"18"," # who attend remedial and catch-up classes","# who attend remedial and catch-up classes"
"19"," - # SGBV Survivors in urban who access and benefit from safe, confidential, and compassionate specialized multisectoral services","# SGBV Survivors in camp who access and benefit from specialized multisectoral services"
"20"," - # experiencing violence in the home provided with multi-sectoral services","# experiencing violence in the home provided with multi-sectoral services"
"21"," - # having improved access to safe water","# having improved access to safe water"
"22"," - # in child labour provided with multi-sectoral services","# in child labour provided with multi-sectoral services"
"23"," - # of  SC provided with multi-sectoral services","# of SC provided with multi-sectoral services"
"24"," - # of GBV survivor who access medical care","# of GBV survivor who access medical care"
"25"," - # of SC provided with multi-sectoral services","# of SC provided with multi-sectoral services"
"26"," - # of UAC provided with multi-sectoral services","# of UAC provided with multi-sectoral services"
"27"," - # of individuals assisted - Conditional","# of individuals assisted - Conditional"
"28"," - # of individuals assisted - Unconditional","# of individuals assisted - Unconditional"
"29"," - # of individuals assisted-  full winterization cash","# of individuals assisted- full winterization cash"
"30"," - # of individuals assisted- supplementary winterization  cash","# of individuals assisted- supplementary winterization  cash"
"31"," - # participating in self-reliance, vocational training, life-skills","# participating in self-reliance, vocational training, life-skills"
"32"," - # provided with information relevant for education and assisted with referral services","# provided with information relevant for education and assisted with referral services"
"33"," - # referred for secondary and tertiary level","# referred for secondary and tertiary level"
"34"," - # sensitized on CP issues, services available and referral pathways","# sensitized on CP issues, services available and referral pathways"
"35"," - # with access to potable water in camps as per the agreed minimum standards.","# with access to potable water in camps as per the agreed minimum standards."
"36"," - # with specific needs identified who have been provided with assistive tools","# with specific needs identified who have been provided with assistive tools"
"37"," benefiting from alternative education service such as informal education and life skills","# benefiting from alternative education service such as informal education and life skills"
"38"," reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","# reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities"
"39"," receiving SuperCereal Plus","# receiving SuperCereal Plus"
"40","# of  survivors benefitting from case management","# of survivors benefitting from case management"
"41","# of survivors receiving financial support","# of survivors receiving financial support"
"42","- #  benefiting from improved access to safe water in schools and in the host communities.","# benefiting from improved access to safe water in schools and in the host communities."
"43","- #  provided with post-basic education","# provided with post-basic education"
"44","- # SGBV Survivors  in urban  who access and benefit from safe, confidential, and compassionate specialized multisectoral services","# SGBV Survivors in urban  who access and benefit from safe, confidential, and compassionate specialized multisectoral services"
"45","- # SGBV Survivors  who access and benefit from safe, confidential, and compassionate specialized multisectoral services","# SGBV Survivors who access and benefit from safe, confidential, and compassionate specialized multisectoral services"
"46","- # SGBV Survivors in urban who access and benefit from safe, confidential, and compassionate specialized multisectoral services","# SGBV Survivors in urban who access and benefit from safe, confidential, and compassionate specialized multisectoral services"
"47","- # benefiting from community-support project","# benefiting from community-support project"
"48","- # benefiting from improved access to safe water in schools and in the host communities.","# benefiting from improved access to safe water in schools and in the host communities."
"49","- # benefiting from psychosocial support services (level 2 & 3)","# benefiting from psychosocial support services (level 2 & 3)"
"50","- # experiencing violence in schools  provided with multi-sectoral services","# experiencing violence in schools  provided with multi-sectoral services"
"51","- # experiencing violence in the home provided with multi-sectoral services","# experiencing violence in the home provided with multi-sectoral services"
