,ActivityCategory,ActivityName,LocationType,Name,Category,Code,Aggregation,Units,ReportingFrequency,mandatory,FormFieldType,AttributeValue,multipleAllowed,Description,sort
804,BASIC NEEDS[1]Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),SyrRefRespRRP6,Camps Syrian Boys (Age 0-17) - in Female Headed Household receiving HH Items,# of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
803,BASIC NEEDS[1]Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),SyrRefRespRRP6,Camps Syrian Girls (Age 0-17)- in Female Headed Household receiving HH Items,# of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
805,BASIC NEEDS[1]Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),SyrRefRespRRP6,Camps Syrian Men (Age 18 and above)- in Female Headed Household receiving HH Items,# of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
802,BASIC NEEDS[1]Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),SyrRefRespRRP6,Camps Syrian Women (Age 18 and above)- in Female Headed Household receiving HH Items,# of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
808,BASIC NEEDS[1]Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),SyrRefRespRRP6,Camps Syrian Boys (Age 0-17)- in Male Headed Household receiving HH Items,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
807,BASIC NEEDS[1]Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),SyrRefRespRRP6,Camps Syrian Girls (Age 0-17))- in Male Headed Household receiving HH Items,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
809,BASIC NEEDS[1]Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),SyrRefRespRRP6,Camps Syrian Men (Age 18 and above))- in Male Headed Household receiving HH Items,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
806,BASIC NEEDS[1]Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),SyrRefRespRRP6,Camps Syrian Women (Age 18 and above))- in Male Headed Household receiving HH Items,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
790,BASIC NEEDS[1]Basic HH Needs are met,[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),SyrRefRespRRP6,Camps Syrian Boys (Age 0-17)- in Female Headed Household receiving replenishment of consumable HH items,#of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
789,BASIC NEEDS[1]Basic HH Needs are met,[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),SyrRefRespRRP6,Camps Syrian Girls (Age 0-17)- in Female Headed Household receiving replenishment of consumable HH items,#of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
791,BASIC NEEDS[1]Basic HH Needs are met,[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),SyrRefRespRRP6,Camps Syrian Men (Age 18 and above)- in Female Headed Household receiving replenishment of consumable HH items,#of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
788,BASIC NEEDS[1]Basic HH Needs are met,[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),SyrRefRespRRP6,Camps Syrian Women (Age 18 and above)- in Female Headed Household receiving replenishment of consumable HH items,#of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
794,BASIC NEEDS[1]Basic HH Needs are met,[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),SyrRefRespRRP6,Camps Syrian Boys (Age 0-17)- in Male Headed Household receiving replenishment of consumable HH items,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
793,BASIC NEEDS[1]Basic HH Needs are met,[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),SyrRefRespRRP6,Camps Syrian Girls (Age 0-17)- in Male Headed Household receiving replenishment of consumable HH items,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
795,BASIC NEEDS[1]Basic HH Needs are met,[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),SyrRefRespRRP6,Camps Syrian Men (Age 18 and above)- in Male Headed Household receiving replenishment of consumable HH items,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
792,BASIC NEEDS[1]Basic HH Needs are met,[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),SyrRefRespRRP6,Camps Syrian Women (Age 18 and above)- in Male Headed Household receiving replenishment of consumable HH items,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
821,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Host Community Boys (Age 0-17)- in Female Headed Household receiving assistance,#of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
820,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Host Community Girls (Age 0-17)- in Female Headed Household receiving assistance,#of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
822,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Host Community Men (Age 18 and above)- in Female Headed Household receiving assistance,#of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
