locationName,RegionCODE,Area2
Zaatari District 9,1711,MAFRAQ
Kitim,1707,IRBID
Liwa Qasabah Mleah,1710,MADABA
Zarqa Governorate,1712,ZARQA
Liwa Qasabah Al Mazar,1704,KARAK
Liwa Mahis wa al Fuhays,1702,BALQA
Liwa Qasabat Irbid,1707,Irbid
Zaatari District 6,1711,MAFRAQ
Azraq Camp Village 1,1712,Zarqa
Liwa Qasabat Madaba,1710,Madaba
Liwa Qasabah Al-Turrah,1707,Irbid
Liwa Ayy,1704,Karak
Liwa Qasabat al Mafraq,1711,MAFRAQ
Liwa Qasabat Az Zarqa,1712,Zarqa
Irbid Governorate,1707,Irbid
Liwa Qasabah Ar Rusayfa,1712,Zarqa
Azraq Camp Village 6,1712,Zarqa
At Tafilah City,1706,TAFILAH
Liwa Qasabah Al Keteh,1708,JARASH
Liwa al Qasr,1704,Karak
Liwa al Aghwar ash Shamaliyah,1707,Irbid
Irbid City,1707,Irbid
Liwa al Husayniyah,1709,MAAN
Liwa Qasabah City center,1703,AL AQABAH
Zaatari District 5,1711,MAFRAQ
Zaatari District 3,1711,MAFRAQ
Zaatari District 10,1711,MAFRAQ
Ghawr Al Mazr'ha,1704,Karak
Zaatari District 2,1711,MAFRAQ
Liwa al Hasa,1706,TAFILAH
Liwa Qasabah Irbid Aydoun,1707,Irbid
Zaatari District 4,1711,MAFRAQ
Liwa al Kurah,1707,Irbid
Liwa Bani Kinanah,1707,Irbid
Liwa ash Shunah al Janubiyah,1702,Balqa
Liwa Naur,1705,AMMAN
Non Camp,3,NON CAMP
Liwa Qasabat As Salt,1702,Balqa
Aqaba City,1703,AL AQABAH
Liwa Qasabah Al Khaldyah,1711,MAFRAQ
Maan City,1709,MAAN
Zaatari District 11,1711,MAFRAQ
"Liwa Qasabah Southern Marka, Nadi ElSebaq",1705,AMMAN
Souf Camp,1708,JARASH
Madaba Governorate,1710,Madaba
Liwa Qasabat al Karak,1704,Karak
Country Wide,1,Country Wide Intervention
Liwa Ayn al Basha,1702,Balqa
Emirati Jordanian Camp (EJC),1712,Zarqa
Al Balqa Governorate,1702,Balqa
Liwa Qasabah Sama As Sarhan,1711,MAFRAQ
Jarash City,1708,JARASH
Madaba City,1710,Madaba
Liwa Qasabat Amman,1705,AMMAN
As Salt City,1702,Balqa
Zaatari District 7,1711,MAFRAQ
