mon,sort,na,aggmonit,aggmonit2,aggtarget,indicatorName,activityName,sect,ob,indicatorId.x,indicatorId.y,activityCategory.x,indicatorCategory.x,aggregation.x,units.x,reportingFrequency.x,locationTypeName.x,activityId.x,databaseId.x.x,indicatorCode.x,objective.x,sector.x,Category.x,activity2.x,activityCategory.y,indicatorCategory.y,aggregation.y,units.y,reportingFrequency.y,locationTypeName.y,activityId.y,databaseId.x.y,indicatorCode.y,objective.y,sector.y,Category.y,activity2.y
no,tosort,,,,,# of FHH receiving basic HH items,[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,86395,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,,0,# of case,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
no,tosort,,,,,# of individuals in FHH receiving HH Items (disaggregated by WGBM),[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,86399,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,# of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
no,tosort,,,,,# of individuals in MHH receiving HH Items (disaggregated by WGBM),[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,86400,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
no,tosort,,,,,# of MHH receiving basic HH items,[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,86397,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,,0,# of case,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
no,out,,,,,% already funded? Enter % of financial requirements that are already funded (100% if fully funded; 0% if not yet funded) *,[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,87476,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,Budget,0,%,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
no,out,,,,,Budgetary Requirement for 2015,[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,86393,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,Budget,0,USD $,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
no,tosort,,,,,Camps Syrian Boys (Age 0-17),[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,86382,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,# of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
no,tosort,,,,,Camps Syrian Boys (Age 0-17),[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,88290,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
yes,no,,,,,Camps Syrian Boys (Age 0-17)- in Female Headed Household receiving HH Items,[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,2146392226,,BASIC NEEDS[1]Basic HH Needs are met,# of indv. in FHH,0,# of benef,1,SyrRefRespRRP6,14244,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp),,,,,,,,,,,,,
yes,no,,,,,Camps Syrian Boys (Age 0-17)- in Male Headed Household receiving HH Items,[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,2146392230,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef,1,SyrRefRespRRP6,14244,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp),,,,,,,,,,,,,
no,tosort,,,,,Camps Syrian Girls (Age 0-17),[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,86385,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,# of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
no,tosort,,,,,Camps Syrian Girls (Age 0-17),[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,88288,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
yes,no,,,,,Camps Syrian Girls (Age 0-17)- in Female Headed Household receiving HH Items,[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,2146392227,,BASIC NEEDS[1]Basic HH Needs are met,# of indv. in FHH,0,# of benef,1,SyrRefRespRRP6,14244,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp),,,,,,,,,,,,,
yes,no,,,,,Camps Syrian Girls (Age 0-17)- in Male Headed Household receiving HH Items,[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,2146392231,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef,1,SyrRefRespRRP6,14244,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp),,,,,,,,,,,,,
no,tosort,,,,,Camps Syrian Men (Age 18 and above),[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,86388,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,# of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
no,tosort,,,,,Camps Syrian Men (Age 18 and above),[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,88292,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
