SECTOR,Objective-shortversion,Objective-longversion,activity,Output-longversion
CASH,CASH-1. Need Coverage,Objective 1. Ensure that the needs of extremely vulnerable SYR as well as JOR affected by the refugee crisis are covered across Jordan,1.Provision of urgent cash assistance,Output 1.1. Provision of equitable urgent cash assistance
CASH,CASH-1. Need Coverage,Objective 1. Ensure that the needs of extremely vulnerable SYR as well as JOR affected by the refugee crisis are covered across Jordan,2. Provision of regular cash assistance,Output 1.2. Provision of equitable regular cash assistance
CASH,CASH-1. Need Coverage,Objective 1. Ensure that the needs of extremely vulnerable SYR as well as JOR affected by the refugee crisis are covered across Jordan,3. Provision of seasonal assistance,Output 1.3. Provision of equitable seasonal assistance
CASH,CASH-2. Coordination,Objective 2. Ensure that coordination is continuously enhanced in order to deliver quality cash assistance in the most efficient and targeted manner possible to MWBG,1.Standardized & gender-sensitive modalities,Output 2.1 Standardized and gender-sensitive modalities and monitoring mechanisms developed
EDUCATION,EDUCATION-1. Access to appropriate opportunities,Objective 1. Children and youth have sustained access to appropriate education opportunities,1.Benefit from formal educ (prim & sec),Output 1.1. School aged Syrian boys and girls benefit from formal education (primary and secondary) 
EDUCATION,EDUCATION-1. Access to appropriate opportunities,Objective 1. Children and youth have sustained access to appropriate education opportunities,2. Benefit  informal/non-formal/lifeskills,"Output 1.2. Out-of-school boys and girls including adolescents and youth (6-24 years) benefit from alternative education services such as informal, non-formal education, and basic life skills activities."
EDUCATION,EDUCATION-1. Access to appropriate opportunities,Objective 1. Children and youth have sustained access to appropriate education opportunities,3. Access to pre-primary education services,Output 1.3.Boys and girls (3-6 years) have access to pre-primary education services
EDUCATION,EDUCATION-1. Access to appropriate opportunities,Objective 1. Children and youth have sustained access to appropriate education opportunities,4. Children with specific needs,Output 1.4. Children with specific needs access educational and psychosocial services
EDUCATION,EDUCATION-1. Access to appropriate opportunities,Objective 1. Children and youth have sustained access to appropriate education opportunities,5. Youth benefit from post-basic & higher ed,Output 1.5. Youth benefit from post-basic and higher education 
EDUCATION,EDUCATION-2. Learning environment,"Objective 2.  Children and youth benefit from a learning environment that promotes quality education, protection and well-being.",1. Psychosocial & resilience in pub. schools,Output 2.1. Boys and girls benefit from activities that support psychosocial development and resilience in public schools 
EDUCATION,EDUCATION-2. Learning environment,"Objective 2.  Children and youth benefit from a learning environment that promotes quality education, protection and well-being.",2. Training of education service providers,"Output 2.2. Quality of teaching is ensured through training of education service providers such as teachers, school supervisors, and counsellors"
EDUCATION,EDUCATION-2. Learning environment,"Objective 2.  Children and youth benefit from a learning environment that promotes quality education, protection and well-being.",3. Provision of education supplies,Output 2.3. Children receive essential learning materials including basic stationery and other education supplies
EDUCATION,EDUCATION-2. Learning environment,"Objective 2.  Children and youth benefit from a learning environment that promotes quality education, protection and well-being.",4. Support to learn. space in public schools,Output 2.4. Jordanian public schools supported with additional learning spaces
FOOD,FOOD-1. Maintain Food Security,"Objective 1. Maintain food security and improve food availability, access and utilisation for Syrian refugees in Jordan through appropriate and consistent food assistance ",1. Food Assistance in camps,"Output 1.1. Syrian refugees received welcome meals, dry rations and/or food vouchers in camps and transit centres "
FOOD,FOOD-1. Maintain Food Security,"Objective 1. Maintain food security and improve food availability, access and utilisation for Syrian refugees in Jordan through appropriate and consistent food assistance ",2. Cash & Vouchers,"Output 1.2. Syrian refugees received cash, vouchers or other forms of food assistance in urban and rural areas including vulnerable Syrian refugees awaiting UNHCR registration "
FOOD,FOOD-1. Maintain Food Security,"Objective 1. Maintain food security and improve food availability, access and utilisation for Syrian refugees in Jordan through appropriate and consistent food assistance ",3. School Snacks,Output 1.3. Syrian girls and boys received school snacks in camp schools 
FOOD,FOOD-2. Livelihood support & self-reliance,"Objective 2. Improve food security including food availability, access and utilisation for vulnerable Jordanian populations through targeted food production and livelihood  interventions ",1. Food assistance for vulnerable Jordanians,Output 2.1. Vulnerable Jordanian families living in areas with high concentration of Syrian refugees received food assistance
FOOD,FOOD-2. Livelihood support & self-reliance,"Objective 2. Improve food security including food availability, access and utilisation for vulnerable Jordanian populations through targeted food production and livelihood  interventions ",2. Livelihood for Vulnerable Jordanians,Output 2.2. Vulnerable Jordanian families living in areas with high concentration of Syrian refugees provided with livelihood opportunities
FOOD,FOOD-2. Livelihood support & self-reliance,"Objective 2. Improve food security including food availability, access and utilisation for vulnerable Jordanian populations through targeted food production and livelihood  interventions ",3. Food production for Vulnerable Jordanians,"Output 2.3. The production, access and utilization of diversified and nutritious food by vulnerable Jordanians families living in refugee concentrated areas is enhanced and increased "
FOOD,FOOD-2. Livelihood support & self-reliance,"Objective 2. Improve food security including food availability, access and utilisation for vulnerable Jordanian populations through targeted food production and livelihood  interventions ",4. Animal Diseases Risk mitigation,Output 2.4. Risk of Trans-boundary Animal Diseases (TAD’s) contained and animal productivity of livestock herds in the north of Jordan improved
FOOD,FOOD-3. Improve Nutritional Status,"Objective 2. Improve food security including food availability, access and utilisation for vulnerable Jordanian populations through targeted food production and livelihood  interventions ",1. Specialized Nutritious Foods,"Output 2.5. Vulnerable Jordanian families headed by women and girls, received micro-nutrient and protein rich foods and good nutritional practises training"
FOOD,FOOD-3. Improve Nutritional Status,"Objective 3. Improve the nutritional status of Syrian refugees, particularly malnourished girls and boys under the age of five and pregnant and lactating women  ",2. Improved Status for vulnerables,Output 3.1.  Moderately malnourished Syrian girls and boys under the age of five and pregnant and lactating women received specialized nutritious foods (SuperCereal Plus) 
FOOD,FOOD-3. Improve Nutritional Status,"Objective 3. Improve the nutritional status of Syrian refugees, particularly malnourished girls and boys under the age of five and pregnant and lactating women  ",3. Sensitization Training,"Output 3.2. Nutritional habits of Syrian women, girls, boys and men have improved through healthy behaviour training, communication and sensitization"
FOOD,FOOD-4. Coordinated food response,"Objective 3. Improve the nutritional status of Syrian refugees, particularly malnourished girls and boys under the age of five and pregnant and lactating women  ",1. Minimize duplication & increase efficiency,Output 3.3. Syrian girls and boys under the age of five and pregnant and lactating women with moderate acute malnutrition attended until they have recovered
FOOD,FOOD-4. Coordinated food response,Objective 4. Ensure effective and coordinated sectoral response through evidence-based food security and livelihood interventions ,2. Protection in food security,Output 4.1. Food sector activities coordinated to ensure complementarity of activities by different food sector actors in order to minimize duplication and increase efficiency of assistance
