sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
BASICNEEDS,31/12/2014,Child Protection,[REF4.4]Specialised Services/Case Mngmt.,# of UAC provided with multi-sectoral services,,ZAATARICAMP,Men,UNHCR,Camp    - ,Indirect appeal,UNHCR,Yes,,,0,# of benef,District 1,,Camp
WASH,31/12/2014,Child Protection,[REF4.4]Specialised Services/Case Mngmt.,# of UAC provided with multi-sectoral services,,ZAATARICAMP,Men,UNHCR,Camp    - ,Indirect appeal,,Yes,,,0,# of benef,District 10,,Camp
SHELTER,31/12/2014,Child Protection,[REF4.4]Specialised Services/Case Mngmt.,# of UAC provided with multi-sectoral services,,ZAATARICAMP,Men,UNHCR,Camp    - ,Indirect appeal,UNHCR,Yes,,,0,# of benef,District 11,,Camp
FOOD,31/12/2014,Child Protection,[REF4.4]Specialised Services/Case Mngmt.,# of UAC provided with multi-sectoral services,,ZAATARICAMP,Men,UNHCR,Camp    - ,Indirect appeal,UNHCR,Yes,,,0,# of benef,District 12,,Camp
PROTECTION,31/12/2014,Child Protection,[REF4.4]Specialised Services/Case Mngmt.,# of UAC provided with multi-sectoral services,,ZAATARICAMP,Men,UNHCR,Camp    - ,Indirect appeal,UNHCR,Yes,,,0,# of benef,District 2,,Camp
HEALTH,31/12/2014,Child Protection,[REF4.4]Specialised Services/Case Mngmt.,# of UAC provided with multi-sectoral services,,ZAATARICAMP,Men,UNHCR,Camp    - ,Indirect appeal,UNHCR,Yes,,,0,# of benef,District 3,,Camp
EDUCATION,31/12/2014,Child Protection,[REF4.4]Specialised Services/Case Mngmt.,# of UAC provided with multi-sectoral services,,ZAATARICAMP,Men,UNHCR,Camp    - ,Indirect appeal,UNHCR,Yes,,,0,# of benef,District 4,,Camp
WASH,31/12/2014,Child Protection,[REF4.4]Specialised Services/Case Mngmt.,# of UAC provided with multi-sectoral services,,ZAATARICAMP,Men,UNHCR,Camp    - ,Indirect appeal,,Yes,,,0,# of benef,District 5,,Camp
SHELTER,31/12/2014,Child Protection,[REF4.4]Specialised Services/Case Mngmt.,# of UAC provided with multi-sectoral services,,ZAATARICAMP,Men,UNHCR,Camp    - ,Indirect appeal,UNHCR,Yes,,,0,# of benef,District 6,,Camp
FOOD,31/12/2014,Child Protection,[REF4.4]Specialised Services/Case Mngmt.,# of UAC provided with multi-sectoral services,,ZAATARICAMP,Men,UNHCR,Camp    - ,Indirect appeal,UNHCR,Yes,,,0,# of benef,District 7,,Camp
HEALTH,31/12/2014,Child Protection,[REF4.4]Specialised Services/Case Mngmt.,# of UAC provided with multi-sectoral services,,ZAATARICAMP,Men,UNHCR,Camp    - ,Indirect appeal,UNHCR,Yes,,,0,# of benef,District 8,,Camp
EDUCATION,31/12/2014,Child Protection,[REF4.4]Specialised Services/Case Mngmt.,# of UAC provided with multi-sectoral services,,ZAATARICAMP,Men,UNHCR,Camp    - ,Indirect appeal,UNHCR,Yes,,,0,# of benef,District 9,,Camp
