"","Category","Partner","Area","Objective","Output","Sector","Implementation","Total","RegionCODE","Area2"
"10","Refugee","UNICEF","Ajlun Governorate","WASH [REF1.5]Water Conservation","[REF1.5.1]Conserv. In camps/urban","WASH ","indirect",55555.5,1701,"AJLOUN"
"12","Refugee","WVI","Ajlun Governorate","EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.2]Engage Parents & Communities","EDUCATION","direct",3900000,1701,"AJLOUN"
"24","Refugee","UNICEF","Ajlun Governorate","WASH [REF1.2]Access to Water in Urban","[REF1.2.1]Water Trucking Urban","WASH ","indirect",55555.5,1701,"AJLOUN"
"35","Refugee","WVI","Ajlun Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",196689.33,1701,"AJLOUN"
"40","Refugee","NRC","Ajlun Governorate","PROT[REF1.1]Refugee Rights Respected","[REF1.1.5]Access to Legal Assistance","PROTECTION","direct",33000,1701,"AJLOUN"
"43","Refugee","NRC","Ajlun Governorate","SHLT[REF2.2]Complete Housing Units","[REF2.2.1]Awareness on Housing Rights","SHELTER","direct",15000,1701,"AJLOUN"
"51","Refugee","UNHCR","Ajlun Governorate","PROT[REF1.4]Child Protection","[REF1.4.4]Access Multi-Sector services","PROTECTION","indirect",28475,1701,"AJLOUN"
"57","Refugee","ICMC","Ajlun Governorate","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","SHELTER","direct",54817,1701,"AJLOUN"
"58","Refugee","Mercy Corps","Ajlun Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",50000,1701,"AJLOUN"
"59","Refugee","WVI","Ajlun Governorate","EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.1]Strategy to reduce violence","EDUCATION","direct",3900000,1701,"AJLOUN"
"70","Refugee","ICMC","Ajlun Governorate","WASH [REF3.2]Hygiene in Urban","[REF3.2.1]Hygiene promotion","WASH ","direct",16072,1701,"AJLOUN"
"84","Refugee","NRC","Ajlun Governorate","PROT[REF1.1]Refugee Rights Respected","[REF1.1.3] Civil Status Documentation","PROTECTION","direct",15000,1701,"AJLOUN"
"94","Refugee","WVI","Ajlun Governorate","EDU[REF2.1]Train Education Providers","[REF2.1.2]Community Trained","EDUCATION","direct",4966.67,1701,"AJLOUN"
"97","Refugee","UNFPA","Ajlun Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.3]Reproductive Health Services","HEALTH","indirect",6e+05,1701,"AJLOUN"
"105","Refugee","ACF","Ajlun Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",150000,1701,"AJLOUN"
"108","Refugee","UNICEF","Ajlun Governorate","WASH [REF2.3]Sanit.Repair/Ext","[REF2.3.1]Sewage Treatment in urban","WASH ","indirect",1666666.7,1701,"AJLOUN"
"110","Refugee","WVI","Ajlun Governorate","EDU[REF3.3]Alternative Education","[REF3.3.1]Informal Education","EDUCATION","",348594.84,1701,"AJLOUN"
"113","Refugee","APS","Ajlun Governorate","PROT[REF1.3]SGBV","[REF.1.3.3]Capacity of Service Providers","PROTECTION","direct",52000,1701,"AJLOUN"
"122","Refugee","WVI","Ajlun Governorate","PROT[REF1.4]Child Protection","[REF1.4.2]Advocacy and Knowledge Gen.","PROTECTION","direct",3900000,1701,"AJLOUN"
"127","Refugee","ICMC","Ajlun Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",12546,1701,"AJLOUN"
"128","Refugee","WVI","Ajlun Governorate","EDU[REF3.3]Alternative Education","[REF3.3.2]Life Skills","EDUCATION","direct",3900000,1701,"AJLOUN"
"142","Refugee","APS","Ajlun Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","HEALTH","direct",18352,1701,"AJLOUN"
"143","Refugee","Mercy Corps","Ajlun Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","PROTECTION","direct",750000,1701,"AJLOUN"
"149","Refugee","WVI","Ajlun Governorate","EDU[REF3.2]Acces to Formal Education","[REF3.2.1]School renovation/equip","EDUCATION","direct",8306.67,1701,"AJLOUN"
"150","Refugee","IMC","Ajlun Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.6]Mental Health Services (primary)","HEALTH","direct",15530,1701,"AJLOUN"
"159","Refugee","WVI","Ajlun Governorate","PROT[REF1.4]Child Protection","[REF1.4.1]Child Protection systems","PROTECTION","direct",91442.5,1701,"AJLOUN"
