"","sector","StartDate","Category","activity","Indicator","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"14","EDUCATION","01/01/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","Camps","Girls","NRC","Camp    - ","Direct appeal","None","Yes","5","2",71,"Individual","Zaatari District 10","North","Camp"
"15","EDUCATION","01/12/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","ZARQA","Girls","NRC","Camp    - ","Direct appeal","None","Yes","1","1712",57,"Individual","Emirati Jordanian Camp (EJC)","North","Camp"
"16","EDUCATION","01/07/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","Camps","Girls","NRC","Camp    - ","Direct appeal","None","Yes","5","2",141,"Individual","Zaatari District 10","North","Camp"
"17","EDUCATION","01/12/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","Camps","Girls","NRC","Camp    - ","Direct appeal","None","Yes","5","2",183,"Individual","Zaatari District 10","North","Camp"
"18","EDUCATION","01/03/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","ZARQA","Girls","NRC","Camp    - ","Direct appeal","None","Yes","1","1712",89,"Individual","Emirati Jordanian Camp (EJC)","North","Camp"
"19","EDUCATION","01/07/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","ZARQA","Girls","NRC","Camp    - ","Direct appeal","None","Yes","1","1712",85,"Individual","Emirati Jordanian Camp (EJC)","North","Camp"
"20","EDUCATION","01/08/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","Camps","Girls","NRC","Camp    - ","Direct appeal","None","Yes","5","2",159,"Individual","Zaatari District 10","North","Camp"
"21","EDUCATION","01/04/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","Camps","Girls","NRC","Camp    - ","Direct appeal","None","Yes","5","2",141,"Individual","Zaatari District 10","North","Camp"
"22","EDUCATION","01/02/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","Camps","Girls","NRC","Camp    - ","Direct appeal","None","Yes","5","2",73,"Individual","Zaatari District 10","North","Camp"
"23","EDUCATION","01/06/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","Camps","Girls","NRC","Camp    - ","Direct appeal","None","Yes","5","2",211,"Individual","Zaatari District 10","North","Camp"
"24","EDUCATION","01/04/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","ZARQA","Girls","NRC","Camp    - ","Direct appeal","None","Yes","1","1712",75,"Individual","Emirati Jordanian Camp (EJC)","North","Camp"
"25","EDUCATION","01/10/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","Camps","Girls","NRC","Camp    - ","Direct appeal","None","Yes","5","2",234,"Individual","Zaatari District 10","North","Camp"
"26","EDUCATION","01/06/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","ZARQA","Girls","NRC","Camp    - ","Direct appeal","None","Yes","1","1712",98,"Individual","Emirati Jordanian Camp (EJC)","North","Camp"
"27","EDUCATION","01/05/2014","1. Access to appropriate opportunities","5. Youth benefit from post-basic & higher ed","# provided with post-basic education","Camps","Girls","NRC","Camp    - ","Direct appeal","None","Yes","5","2",103,"Individual","Zaatari District 10","North","Camp"
