"","sector","StartDate","Category","activity","Indicator","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"36","PROTECTION","01/02/2014","2. Empowerment","2. Coexistence with local communities","# benefiting from community-support project","IRBID","Men","MC","   Urban areas - ","Direct appeal","None","Yes","1","1707",260,"Individual","Irbid Governorate","North","Urban"
"37","PROTECTION","01/07/2014","2. Empowerment","2. Coexistence with local communities","# benefiting from community-support project","MAFRAQ","Men","MC","   Urban areas - ","Direct appeal","None","Yes","1","1711",757,"Individual","Mafraq Governorate","North","Urban"
"38","PROTECTION","01/09/2014","2. Empowerment","2. Coexistence with local communities","# benefiting from community-support project","MAFRAQ","Men","MC","   Urban areas - ","Direct appeal","None","Yes","1","1711",757,"Individual","Mafraq Governorate","North","Urban"
"39","PROTECTION","01/03/2014","2. Empowerment","2. Coexistence with local communities","# benefiting from community-support project","IRBID","Men","MC","   Urban areas - ","Direct appeal","None","Yes","1","1707",1200,"Individual","Irbid Governorate","North","Urban"
"40","PROTECTION","01/07/2014","2. Empowerment","2. Coexistence with local communities","# benefiting from community-support project","IRBID","Men","MC","   Urban areas - ","Direct appeal","None","Yes","1","1707",1272,"Individual","Irbid Governorate","North","Urban"
"41","PROTECTION","01/02/2014","2. Empowerment","2. Coexistence with local communities","# benefiting from community-support project","MAFRAQ","Men","MC","   Urban areas - ","Direct appeal","None","Yes","1","1711",585,"Individual","Mafraq Governorate","North","Urban"
"42","PROTECTION","01/09/2014","2. Empowerment","2. Coexistence with local communities","# benefiting from community-support project","IRBID","Men","MC","   Urban areas - ","Direct appeal","None","Yes","1","1707",1302,"Individual","Irbid Governorate","North","Urban"
"43","PROTECTION","01/11/2014","2. Empowerment","2. Coexistence with local communities","# benefiting from community-support project","MAFRAQ","Men","MC","   Urban areas - ","Direct appeal","None","Yes","1","1711",757,"Individual","Mafraq Governorate","North","Urban"
"44","PROTECTION","01/03/2014","2. Empowerment","2. Coexistence with local communities","# benefiting from community-support project","MAFRAQ","Men","MC","   Urban areas - ","Direct appeal","None","Yes","1","1711",757,"Individual","Mafraq Governorate","North","Urban"
"45","PROTECTION","01/12/2014","2. Empowerment","2. Coexistence with local communities","# benefiting from community-support project","IRBID","Men","LWF","   Urban areas - ","Appeal outside of RRP6","None","No","1","1707",20,"Individual","Irbid Governorate","North","Urban"
