"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"18844","FOOD","30/6/2015","Access to Food","[REF1.1]Food Assistance","# of Syrian refugees receiving food vouchers or other forms of food assistance","Camps Syrian Boys (Age 0-17) # of Syrian refugees receiving food vouchers or other forms of food assistance","AzraqCamp","Boys","ACTED","Camp    - ","Indirect appeal","WFP","Yes","1","1712",5680,"# of benef","Campwide","North","Camp"
"18845","FOOD","30/6/2015","Access to Food","[REF1.1]Food Assistance","# of Syrian refugees receiving food vouchers or other forms of food assistance","Camps Syrian Girls (Age 0-17) # of Syrian refugees receiving food vouchers or other forms of food assistance","AzraqCamp","Girls","ACTED","Camp    - ","Indirect appeal","WFP","Yes","1","1712",5323,"# of benef.","Campwide","North","Camp"
"18970","FOOD","30/6/2015","Access to Food","[REF1.1]Food Assistance","# of Syrian refugees receiving food vouchers or other forms of food assistance","Camps Syrian Women (Age 18 and above) # of Syrian refugees receiving food vouchers or other forms of food assistance","AzraqCamp","Women","ACTED","Camp    - ","Indirect appeal","WFP","Yes","1","1712",4443,"# of benef.","Campwide","North","Camp"
"20015","FOOD","30/6/2015","Access to Food","[REF1.1]Food Assistance","# of Syrian refugees receiving food vouchers or other forms of food assistance","Camps Syrian Men (Age 18 and above) # of Syrian refugees receiving food vouchers or other forms of food assistance","AzraqCamp","Men","ACTED","Camp    - ","Indirect appeal","WFP","Yes","1","1712",4190,"# of benef.","Campwide","North","Camp"
"17472","FOOD","30/4/2015","Access to Food","[REF1.1]Food Assistance","# of Syrian refugees receiving food vouchers or other forms of food assistance","Camps Syrian Boys (Age 0-17) # of Syrian refugees receiving food vouchers or other forms of food assistance","AzraqCamp","Boys","WFP","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",3863,"# of benef","Campwide","North","Camp"
"17502","FOOD","30/4/2015","Access to Food","[REF1.1]Food Assistance","# of Syrian refugees receiving food vouchers or other forms of food assistance","Camps Syrian Women (Age 18 and above) # of Syrian refugees receiving food vouchers or other forms of food assistance","AzraqCamp","Women","WFP","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",3746,"# of benef.","Campwide","North","Camp"
"17503","FOOD","30/5/2015","Access to Food","[REF1.1]Food Assistance","# of Syrian refugees receiving food vouchers or other forms of food assistance","Camps Syrian Boys (Age 0-17) # of Syrian refugees receiving food vouchers or other forms of food assistance","AzraqCamp","Boys","WFP","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",4311,"# of benef","Campwide","North","Camp"
"17529","FOOD","30/6/2015","Access to Food","[REF1.1]Food Assistance","# of Syrian refugees receiving food vouchers or other forms of food assistance","Camps Syrian Women (Age 18 and above) # of Syrian refugees receiving food vouchers or other forms of food assistance","AzraqCamp","Women","WFP","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",3505,"# of benef.","Campwide","North","Camp"
"17620","FOOD","30/4/2015","Access to Food","[REF1.1]Food Assistance","# of Syrian refugees receiving food vouchers or other forms of food assistance","Camps Syrian Men (Age 18 and above) # of Syrian refugees receiving food vouchers or other forms of food assistance","AzraqCamp","Men","WFP","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",3309,"# of benef.","Campwide","North","Camp"
"17718","FOOD","30/1/2015","Access to Food","[REF1.1]Food Assistance","# of Syrian refugees receiving food vouchers or other forms of food assistance","Camps Syrian Men (Age 18 and above) # of Syrian refugees receiving food vouchers or other forms of food assistance","AzraqCamp","Men","WFP","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",2180,"# of benef.","Campwide","North","Camp"
"17759","FOOD","30/6/2015","Access to Food","[REF1.1]Food Assistance","# of Syrian refugees receiving food vouchers or other forms of food assistance","Camps Syrian Girls (Age 0-17) # of Syrian refugees receiving food vouchers or other forms of food assistance","AzraqCamp","Girls","WFP","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",4436,"# of benef.","Campwide","North","Camp"
