,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
5,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Women (Age 18 and above)-# Female Headed Household receiving assistance,AJLOUN,Women,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,1,# of benef,Liwa Qasabat Ajlun,North,Urban
7,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Host Community Men (Age 18 and above)-# Female Headed Household receiving assistance,AJLOUN,Men,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,4,# of benef,Liwa Qasabat Ajlun,North,Host Community
9,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Host Community Women (Age 18 and above)-# Male Headed Household receiving assistance,AJLOUN,Women,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,5,# of benef,Liwa Qasabat Ajlun,North,Host Community
17,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Men (Age 18 and above)-# Male Headed Household receiving assistance,AJLOUN,Men,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,65,# of benef,Ajlun Governorate,North,Urban
18,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Host Community Women (Age 18 and above)-# Female Headed Household receiving assistance,AJLOUN,Women,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,5,# of benef,Liwa Qasabat Ajlun,North,Host Community
24,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Boys (Age 0-17)-# Female Headed Household receiving assistance,AJLOUN,Boys,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,3,# of benef,Liwa Qasabat Ajlun,North,Urban
27,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Women (Age 18 and above)-# Female Headed Household receiving assistance,AJLOUN,Women,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,139,# of benef,Ajlun Governorate,North,Urban
34,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Boys (Age 0-17)-# Male Headed Household receiving assistance,AJLOUN,Boys,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,143,# of benef,Ajlun Governorate,North,Urban
35,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Boys (Age 0-17)-# Female Headed Household receiving assistance,AJLOUN,Boys,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,157,# of benef,Ajlun Governorate,North,Urban
39,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Girls (Age 0-17)-# Male Headed Household receiving assistance,AJLOUN,Girls,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,135,# of benef,Ajlun Governorate,North,Urban
45,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Host Community Boys (Age 0-17)-# Female Headed Household receiving assistance,AJLOUN,Boys,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,6,# of benef,Liwa Qasabat Ajlun,North,Host Community
52,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Host Community Men (Age 18 and above)-# Male Headed Household receiving assistance,AJLOUN,Men,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,3,# of benef,Liwa Qasabat Ajlun,North,Host Community
53,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Host Community Boys (Age 0-17)-# Male Headed Household receiving assistance,AJLOUN,Boys,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,6,# of benef,Liwa Qasabah Kufranjah,North,Host Community
54,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Host Community Women (Age 18 and above)-# Male Headed Household receiving assistance,AJLOUN,Women,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,2,# of benef,Liwa Qasabah Kufranjah,North,Host Community
57,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Women (Age 18 and above)-# Female Headed Household receiving assistance,AJLOUN,Women,HI,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1701,13,# of benef,Ajlun Governorate,North,Urban
59,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Women (Age 18 and above)-# Male Headed Household receiving assistance,AJLOUN,Women,HI,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1701,1,# of benef,Ajlun Governorate,North,Urban
68,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Girls (Age 0-17)-# Female Headed Household receiving assistance,AJLOUN,Girls,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,149,# of benef,Ajlun Governorate,North,Urban
73,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Host Community Girls (Age 0-17)-# Male Headed Household receiving assistance,AJLOUN,Girls,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,2,# of benef,Liwa Qasabah Kufranjah,North,Host Community
74,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Boys (Age 0-17)-# Female Headed Household receiving assistance,AJLOUN,Boys,HI,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1701,6,# of benef,Ajlun Governorate,North,Urban
75,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Boys (Age 0-17)-# Male Headed Household receiving assistance,AJLOUN,Boys,HI,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1701,2,# of benef,Ajlun Governorate,North,Urban
77,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Men (Age 18 and above)-# Male Headed Household receiving assistance,AJLOUN,Men,HI,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1701,2,# of benef,Ajlun Governorate,North,Urban
79,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Host Community Boys (Age 0-17)-# Male Headed Household receiving assistance,AJLOUN,Boys,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,6,# of benef,Liwa Qasabat Ajlun,North,Host Community
82,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Host Community Girls (Age 0-17)-# Male Headed Household receiving assistance,AJLOUN,Girls,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,2,# of benef,Liwa Qasabat Ajlun,North,Host Community
84,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Men (Age 18 and above)-# Female Headed Household receiving assistance,AJLOUN,Men,HI,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1701,5,# of benef,Ajlun Governorate,North,Urban
89,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Host Community Men (Age 18 and above)-# Male Headed Household receiving assistance,AJLOUN,Men,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,2,# of benef,Liwa Qasabah Kufranjah,North,Host Community
92,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Host Community Girls (Age 0-17)-# Female Headed Household receiving assistance,AJLOUN,Girls,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,3,# of benef,Liwa Qasabat Ajlun,North,Host Community
95,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Men (Age 18 and above)-# Female Headed Household receiving assistance,AJLOUN,Men,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,71,# of benef,Ajlun Governorate,North,Urban
104,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Women (Age 18 and above)-# Male Headed Household receiving assistance,AJLOUN,Women,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,127,# of benef,Ajlun Governorate,North,Urban
108,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Girls (Age 0-17)-# Female Headed Household receiving assistance,AJLOUN,Girls,HI,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1701,13,# of benef,Ajlun Governorate,North,Urban
117,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Boys (Age 0-17)-# Female Headed Household receiving assistance,BALQA,Boys,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,3,# of benef,Liwa Qasabat As Salt,Center,Urban
144,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Boys (Age 0-17)-# Female Headed Household receiving assistance,BALQA,Boys,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,362,# of benef,Al Balqa Governorate,Center,Urban
149,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Men (Age 18 and above)-# Male Headed Household receiving assistance,BALQA,Men,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,4,# of benef,Liwa Qasabat As Salt,Center,Urban
160,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Women (Age 18 and above)-# Male Headed Household receiving assistance,BALQA,Women,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,464,# of benef,Al Balqa Governorate,Center,Urban
173,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Women (Age 18 and above)-# Female Headed Household receiving assistance,BALQA,Women,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,316,# of benef,Al Balqa Governorate,Center,Urban
176,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Women (Age 18 and above)-# Male Headed Household receiving assistance,BALQA,Women,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,6,# of benef,Liwa Qasabat As Salt,Center,Urban
189,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Girls (Age 0-17)-# Male Headed Household receiving assistance,BALQA,Girls,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,5,# of benef,Liwa Qasabat As Salt,Center,Urban
190,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Girls (Age 0-17)-# Female Headed Household receiving assistance,BALQA,Girls,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,369,# of benef,Al Balqa Governorate,Center,Urban
193,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Men (Age 18 and above)-# Female Headed Household receiving assistance,BALQA,Men,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,214,# of benef,Al Balqa Governorate,Center,Urban
197,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Men (Age 18 and above)-# Female Headed Household receiving assistance,BALQA,Men,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,1,# of benef,Liwa Qasabat As Salt,Center,Urban
198,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Boys (Age 0-17)-# Male Headed Household receiving assistance,BALQA,Boys,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,531,# of benef,Al Balqa Governorate,Center,Urban
207,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Men (Age 18 and above)-# Male Headed Household receiving assistance,BALQA,Men,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,315,# of benef,Al Balqa Governorate,Center,Urban
208,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Boys (Age 0-17)-# Male Headed Household receiving assistance,BALQA,Boys,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,9,# of benef,Liwa Qasabat As Salt,Center,Urban
212,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Male Headed Household receiving assistance,Urban/Rural Syrian Girls (Age 0-17)-# Male Headed Household receiving assistance,BALQA,Girls,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,542,# of benef,Al Balqa Governorate,Center,Urban
215,BASIC NEEDS,01/01/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",# Female Headed Household receiving assistance,Urban/Rural Syrian Women (Age 18 and above)-# Female Headed Household receiving assistance,BALQA,Women,ICMC,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,2,# of benef,Liwa Qasabat As Salt,Center,Urban
222,BASIC NEEDS,01/01/2015,Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,# Male Headed Household receiving seasonal assistance,Host Community Boys (Age 0-17)-# Male Headed Household receiving seasonal assistance,AMMAN,Boys,DRC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,2,1705,208,# of benef,Liwa Qasabat Amman,Center,Host Community
225,BASIC NEEDS,01/01/2015,Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,# Female Headed Household receiving seasonal assistance,Urban/Rural Syrian Men (Age 18 and above)-# Female Headed Household receiving seasonal assistance,AMMAN,Men,PU-AMI,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1705,55,# of benef,Amman Governorate,Center,Urban
228,BASIC NEEDS,01/01/2015,Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,# Male Headed Household receiving seasonal assistance,Host Community Women (Age 18 and above)-# Male Headed Household receiving seasonal assistance,AMMAN,Women,DRC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,2,1705,227,# of benef,Liwa Qasabat Amman,Center,Host Community
232,BASIC NEEDS,01/01/2015,Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,# Female Headed Household receiving seasonal assistance,Host Community Boys (Age 0-17)-# Female Headed Household receiving seasonal assistance,AMMAN,Boys,CARE,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1705,6,# of benef,Amman Governorate,Center,Host Community
