"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"5004","HEALTH","30/1/2015","Primary Health Care","[REF1.1]Comm. Disease Mngt / EPI services","# of polio and/or measles doses provided","Camps Syrian Girls (Age 0-17) # of polio and/or measles doses provided","IRBID","Girls","MDM","  Other[Villages, Rural areas]  - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1707",13,"# of benef","Ar-Ramtha City","North","Camp"
"5019","HEALTH","28/2/2015","Primary Health Care","[REF1.1]Comm. Disease Mngt / EPI services","# of polio and/or measles doses provided","Camps Syrian Girls (Age 0-17) # of polio and/or measles doses provided","IRBID","Girls","MDM","  Other[Villages, Rural areas]  - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1707",14,"# of benef","Ar-Ramtha City","North","Camp"
"5020","HEALTH","30/1/2015","Primary Health Care","[REF1.1]Comm. Disease Mngt / EPI services","# of polio and/or measles doses provided","Camps Syrian Boys (Age 0-17) # of polio and/or measles doses provided","IRBID","Boys","MDM","  Other[Villages, Rural areas]  - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1707",16,"# of benef","Ar-Ramtha City","North","Camp"
"5099","HEALTH","28/2/2015","Primary Health Care","[REF1.1]Comm. Disease Mngt / EPI services","# of polio and/or measles doses provided","Camps Syrian Boys (Age 0-17) # of polio and/or measles doses provided","IRBID","Boys","MDM","  Other[Villages, Rural areas]  - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1707",10,"# of benef","Ar-Ramtha City","North","Camp"
"7740","HEALTH","28/2/2015","Primary Health Care","[REF1.1]Comm. Disease Mngt / EPI services","# of polio and/or measles doses provided","Camps Syrian Boys (Age 0-17) # of polio and/or measles doses provided","MAFRAQ","Boys","IOM","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",621,"# of benef","Liwa al Badiyah ash Shamaliyah al Gharbiyah","North","Camp"
"7741","HEALTH","30/3/2015","Primary Health Care","[REF1.1]Comm. Disease Mngt / EPI services","# of polio and/or measles doses provided","Camps Syrian Girls (Age 0-17) # of polio and/or measles doses provided","MAFRAQ","Girls","IOM","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",1471,"# of benef","Liwa al Badiyah ash Shamaliyah al Gharbiyah","North","Camp"
"7981","HEALTH","30/1/2015","Primary Health Care","[REF1.1]Comm. Disease Mngt / EPI services","# of polio and/or measles doses provided","Camps Syrian Boys (Age 0-17) # of polio and/or measles doses provided","MAFRAQ","Boys","IOM","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",307,"# of benef","Liwa al Badiyah ash Shamaliyah al Gharbiyah","North","Camp"
"8223","HEALTH","28/2/2015","Primary Health Care","[REF1.1]Comm. Disease Mngt / EPI services","# of polio and/or measles doses provided","Camps Syrian Girls (Age 0-17) # of polio and/or measles doses provided","MAFRAQ","Girls","IOM","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",525,"# of benef","Liwa al Badiyah ash Shamaliyah al Gharbiyah","North","Camp"
"8467","HEALTH","30/3/2015","Primary Health Care","[REF1.1]Comm. Disease Mngt / EPI services","# of polio and/or measles doses provided","Camps Syrian Boys (Age 0-17) # of polio and/or measles doses provided","MAFRAQ","Boys","IOM","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",1689,"# of benef","Liwa al Badiyah ash Shamaliyah al Gharbiyah","North","Camp"
"9073","HEALTH","30/1/2015","Primary Health Care","[REF1.1]Comm. Disease Mngt / EPI services","# of polio and/or measles doses provided","Camps Syrian Girls (Age 0-17) # of polio and/or measles doses provided","MAFRAQ","Girls","IOM","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",293,"# of benef","Liwa al Badiyah ash Shamaliyah al Gharbiyah","North","Camp"
