"","sector","StartDate","Category","activity","Indicator","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"1","SHELTER","01/11/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Boys","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",4,"Individual","Liwa al Wasatiyah","North","Camp"
"5","SHELTER","01/12/2013","1. Host Communities","2. Increased housing units available",,"IRBID","Boys","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",17,"Individual","Liwa at Tayyibah","North","Camp"
"10","SHELTER","01/11/2013","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",6,"Individual","Liwa at Tayyibah","North","Urban"
"12","SHELTER","01/08/2014","1. Host Communities","3. Refugees enabled to pay rent on time","NA","AMMAN","","Caritas","   Urban areas - ","Direct appeal","None","Yes","2","1705",200,"Individual","Amman Governorate","Center",""
"28","SHELTER","01/08/2013","1. Host Communities","2. Increased housing units available",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",4,"Individual","Liwa al Mazar ash Shamali","North","Urban"
"32","SHELTER","01/12/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",36,"Individual","Liwa al Kurah","North","Urban"
"33","SHELTER","01/08/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Boys","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",73,"Individual","Liwa Qasabat Irbid","North","Camp"
"40","SHELTER","01/09/2013","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",45,"Individual","Liwa al Mazar ash Shamali","North",""
"41","SHELTER","01/05/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",78,"Individual","Liwa al Mazar ash Shamali","North","Urban"
"44","SHELTER","01/04/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",18,"Individual","Liwa al Wasatiyah","North","Urban"
