"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"6390","SHELTER","30/1/2016","Improve living conditions in camps","[REF1.1.1]Adequate shelters in camps","# of existing shelters replaced, improved or upgraded","# of existing shelters replaced, improved or upgraded","AZRAQCAMP","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",862,"#","Azraq Camp","North",""
"4469","SHELTER","30/1/2016","Improve living conditions in camps","[REF1.1.1]Adequate shelters in camps","# of existing shelters replaced, improved or upgraded","# of existing shelters replaced, improved or upgraded","ZAATARICAMP","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",264,"#","Zaatari Camp (all district)","North",""
"6239","SHELTER","30/1/2016","Improve Infrastr. in camps","[REF1.2.1]Infrastr. Upgrade./Construction","# m2 of camps infrastructure and roads constructed and/or upgraded","# m2 of camps infrastructure and roads constructed and/or upgraded","AZRAQCAMP","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",0,"# m2","Azraq Camp","North",""
"4645","SHELTER","30/1/2016","Improve Infrastr. in camps","[REF1.2.1]Infrastr. Upgrade./Construction","# m2 of camps infrastructure and roads constructed and/or upgraded","# m2 of camps infrastructure and roads constructed and/or upgraded","ZAATARICAMP","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",0,"# m2","Zaatari Camp (all district)","North",""
"1745","SHELTER","30/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_BOYS_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_BOYS_IN_URBAN received conditional cash for rent assistance","AMMAN","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1705",66,"# boys","Amman Governorate","Center",""
"1746","SHELTER","30/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_GIRLS_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_GIRLS_IN_URBAN received conditional cash for rent assistance","AMMAN","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1705",80,"# girls","Amman Governorate","Center",""
"1849","SHELTER","30/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","AMMAN","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1705",77,"# HH","Amman Governorate","Center",""
"1894","SHELTER","30/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_MEN_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_MEN_IN_URBAN received conditional cash for rent assistance","AMMAN","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1705",52,"# men","Amman Governorate","Center",""
"2219","SHELTER","30/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_BOYS_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_BOYS_IN_URBAN received conditional cash for rent assistance","IRBID","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1707",60,"# boys","Irbid Governorate","North",""
"2290","SHELTER","30/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_MEN_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_MEN_IN_URBAN received conditional cash for rent assistance","IRBID","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1707",48,"# men","Irbid Governorate","North",""
"2373","SHELTER","30/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","IRBID","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1707",70,"# HH","Irbid Governorate","North",""
"3206","SHELTER","30/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_GIRLS_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_GIRLS_IN_URBAN received conditional cash for rent assistance","IRBID","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1707",40,"# girls","Irbid Governorate","North",""
"3624","SHELTER","30/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_MEN_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_MEN_IN_URBAN received conditional cash for rent assistance","KARAK","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1704",0,"# men","Karak Governorate","South",""
"3626","SHELTER","30/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_BOYS_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_BOYS_IN_URBAN received conditional cash for rent assistance","KARAK","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1704",0,"# boys","Karak Governorate","South",""
"3627","SHELTER","30/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_GIRLS_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_GIRLS_IN_URBAN received conditional cash for rent assistance","KARAK","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1704",0,"# girls","Karak Governorate","South",""
"3925","SHELTER","30/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","KARAK","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1704",0,"# HH","Karak Governorate","South",""
