"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"22508","WASH","30/6/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Women (Age 18 and above) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Women","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",4443,"# of benef","Azraq Camp","North","Camp"
"22630","WASH","30/4/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Women (Age 18 and above) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Women","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",4334,"# of benef","Azraq Camp","North","Camp"
"22747","WASH","30/6/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Men (Age 18 and above) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Men","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",4190,"# of benef","Azraq Camp","North","Camp"
"22750","WASH","30/6/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Boys","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",5680,"# of benef","Azraq Camp","North","Camp"
"22877","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Boys","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",6050,"# of benef","Azraq Camp","North","Camp"
"22878","WASH","30/6/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Girls","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",5323,"# of benef","Azraq Camp","North","Camp"
"23112","WASH","30/4/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Girls","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",4334,"# of benef","Azraq Camp","North","Camp"
"23113","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Girls","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",5663,"# of benef","Azraq Camp","North","Camp"
"23122","WASH","30/4/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Boys","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",4522,"# of benef","Azraq Camp","North","Camp"
"23848","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Women (Age 18 and above) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Women","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",4734,"# of benef","Azraq Camp","North","Camp"
"23972","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Men (Age 18 and above) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Men","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",4409,"# of benef","Azraq Camp","North","Camp"
"24213","WASH","30/4/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Men (Age 18 and above) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Men","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",4522,"# of benef","Azraq Camp","North","Camp"
"18102","WASH","30/6/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Women (Age 18 and above) # with access to potable water as per the agreed minimum standards.","ZAATARICAMP","Women","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",18560,"# of benef","Zaatari Camp (all district)","North","Camp"
"18956","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","ZAATARICAMP","Girls","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",22223,"# of benef","Zaatari Camp (all district)","North","Camp"
"19194","WASH","30/4/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Women (Age 18 and above) # with access to potable water as per the agreed minimum standards.","ZAATARICAMP","Women","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",20876,"# of benef","Zaatari Camp (all district)","North","Camp"
"19196","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Women (Age 18 and above) # with access to potable water as per the agreed minimum standards.","ZAATARICAMP","Women","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",18560,"# of benef","Zaatari Camp (all district)","North","Camp"
"19197","WASH","30/4/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Men (Age 18 and above) # with access to potable water as per the agreed minimum standards.","ZAATARICAMP","Men","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",20875,"# of benef","Zaatari Camp (all district)","North","Camp"
"19680","WASH","30/6/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Men (Age 18 and above) # with access to potable water as per the agreed minimum standards.","ZAATARICAMP","Men","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",17258,"# of benef","Zaatari Camp (all district)","North","Camp"
"19808","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Men (Age 18 and above) # with access to potable water as per the agreed minimum standards.","ZAATARICAMP","Men","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",17257,"# of benef","Zaatari Camp (all district)","North","Camp"
"19920","WASH","30/6/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","ZAATARICAMP","Boys","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",23445,"# of benef","Zaatari Camp (all district)","North","Camp"
"19922","WASH","30/6/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","ZAATARICAMP","Girls","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",22224,"# of benef","Zaatari Camp (all district)","North","Camp"
"20040","WASH","30/4/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","ZAATARICAMP","Boys","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",20875,"# of benef","Zaatari Camp (all district)","North","Camp"
"20042","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","ZAATARICAMP","Boys","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",23444,"# of benef","Zaatari Camp (all district)","North","Camp"
"20446","WASH","30/4/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","ZAATARICAMP","Girls","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",20876,"# of benef","Zaatari Camp (all district)","North","Camp"
"22757","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Urban/Rural Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","ZARQA","Girls","OXFAM","   Urban areas - ","Direct appeal","None - Fund direct from Donors","No","1","1712",107,"# of benef","Zarqa Governorate","North","Urban"
"23853","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Urban/Rural Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","ZARQA","Boys","OXFAM","   Urban areas - ","Direct appeal","None - Fund direct from Donors","No","1","1712",119,"# of benef","Zarqa Governorate","North","Urban"
"23854","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Urban/Rural Syrian Men (Age 18 and above) # with access to potable water as per the agreed minimum standards.","ZARQA","Men","OXFAM","   Urban areas - ","Direct appeal","None - Fund direct from Donors","No","1","1712",79,"# of benef","Zarqa Governorate","North","Urban"
"23973","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Urban/Rural Syrian Women (Age 18 and above) # with access to potable water as per the agreed minimum standards.","ZARQA","Women","OXFAM","   Urban areas - ","Direct appeal","None - Fund direct from Donors","No","1","1712",121,"# of benef","Zarqa Governorate","North","Urban"
