"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"9","EDUCATION","28/02/2015","Access to Inclusive Education","Formal Educ Prim/Secondary","NA","Camps Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","ZaatariCamp","","SC Jordan","Camp    - ","Indirect appeal","UNICEF","No","1","1711",70469,"# of benef","Zaatari Camp (all district)","North",""
"24","EDUCATION","28/02/2015","Access to Inclusive Education","Formal Educ Prim/Secondary","NA","Camps Syrian # of male newly recruited teachers and administrative staff mobilized to serve Syrian refugee children","ZaatariCamp","","RI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",64,"# of staff","Zaatari District 3","North",""
"26","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of FHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",171,"# of case","Zaatari District 10","North",""
"28","MUNICIPAL","31/01/2015","Improve Road Network Capacity","Upgrade Road infrastructure","NA","Km of road improved","ZaatariCamp","","WVI","Camp    - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1711",0.01,"km","Zaatari Camp (all district)","North",""
"47","EDUCATION","31/01/2015","Quality/Protective Learning Environs.","Training Edc. Service Providers","NA","# of teachers, school supervisors, counsellors and other educational personnel trained","ZaatariCamp","","RI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",41,"# of staff","Zaatari District 8","North",""
"59","SHELTER","28/02/2015","Camps Adequate Shelter & Services","Provision of semi-permanent shelters ","NA","# of households headed by women, girls, boys or men provided by semi-permanent shelters","ZaatariCamp","","UNHCR","Camp    - ","Appeal outside of 3RP","None - Fund direct from Donors","No","1","1711",412,"# of HH","Zaatari Camp (all district)","North",""
"87","HEALTH","31/01/2015","Integrated Community Interventions","Community Mental Hlth services","NA","# of male community workers trained in psychological first aid","ZaatariCamp","","IMC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",50,"# of staff","Zaatari Camp (all district)","North",""
"95","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of MHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",990,"# of case","Zaatari District 1","North",""
"123","SHELTER","31/01/2015","Camps Adequate Shelter & Services","Provision of emergency shelters to af","NA","# of households headed by women, girls, boys or men provided by emergency shelters","ZaatariCamp","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",325,"# of HH","Zaatari Camp (all district)","North",""
"125","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of FHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",203,"# of case","Zaatari District 2","North",""
"136","HEALTH","28/02/2015","Integrated Community Interventions","Community Mental Hlth services","NA","# of female community workers trained in psychological first aid","ZaatariCamp","","WHO","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",8,"# of staff","Zaatari Camp (all district)","North",""
"148","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of MHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",953,"# of case","Zaatari District 10","North",""
"170","EDUCATION","28/02/2015","Quality/Protective Learning Environs.","Training Edc. Service Providers","NA","# of teachers, school supervisors, counsellors and other educational personnel trained","ZaatariCamp","","RI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",41,"# of staff","Zaatari District 5","North",""
"191","HEALTH","31/01/2015","Primary Health Care","Inf/Child Feeding practice","NA","# caregivers/ mothers reached with IYCF services","ZaatariCamp","","SC Jordan","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",686,"# of benef","Zaatari Camp (all district)","North",""
"192","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of FHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",130,"# of case","Zaatari District 3","North",""
"202","PROTECTION","31/01/2015","Community Empowered; Services to Vuln","Psychosocial Support","NA","# of CFS/AFS operational","ZaatariCamp","","MC","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",2,"# of facilities","Zaatari Camp (all district)","North",""
"203","EDUCATION","31/01/2015","Access to Inclusive Education","Pre-Primary Education","NA","# of caregivers and community members having received information and training on Early Childhood Care and Development","ZaatariCamp","","SCI","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",1090,"# of staff","Zaatari Camp (all district)","North",""
"222","PROTECTION","31/01/2015","Community Empowered; Services to Vuln","Psychosocial Support","NA","# of community centres operational","ZaatariCamp","","IRD","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",5,"# of facilities","Zaatari Camp (all district)","North",""
"227","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of MHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",870,"# of case","Zaatari District 5","North",""
"234","FOOD","28/02/2015","Access to Food"," School Feeding","NA","Syrian Boys (Age 0-17) receiving school snacks in camp school","ZaatariCamp","","WFP","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",6952,"# of benef","Zaatari Camp (all district)","North",""
"236","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of FHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",118,"# of case","Zaatari District 4","North",""
"251","FOOD","31/01/2015","Access to Food"," School Feeding","NA","Syrian Girls (Age 0-17) receiving school snacks in camp school","ZaatariCamp","","WFP","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",3799,"# of benef","Zaatari Camp (all district)","North",""
"254","EDUCATION","31/01/2015","Quality/Protective Learning Environs.","Training Edc. Service Providers","NA","# of teachers, school supervisors, counsellors and other educational personnel trained","ZaatariCamp","","NRC","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",28,"# of staff","Zaatari District 10","North",""
"262","PROTECTION","31/01/2015","Community Empowered; Services to Vuln","Psychosocial Support","NA","# of CFS/AFS operational","ZaatariCamp","","SCI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",16,"# of facilities","Zaatari Camp (all district)","North",""
"272","MUNICIPAL","31/01/2015","Improve Road Network Capacity","Upgrade Road infrastructure","NA","KmTransport systems modes improved in the Northern Governorate","ZaatariCamp","","WVI","Camp    - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1711",0.005,"km","Zaatari Camp (all district)","North",""
"279","FOOD","31/01/2015","Access to Food"," School Feeding","NA","Syrian Boys (Age 0-17) receiving school snacks in camp school","ZaatariCamp","","WFP","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",4958,"# of benef","Zaatari Camp (all district)","North",""
"291","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of MHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",826,"# of case","Zaatari District 12","North",""
"299","SHELTER","31/01/2015","Camps Adequate Shelter & Services","Provision of emergency shelters to af","NA","# of households headed by women, girls, boys or men provided by emergency shelters","ZaatariCamp","","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",292,"# of HH","Zaatari Camp (all district)","North",""
"306","HEALTH","31/01/2015","Primary Health Care","Mental Health Services (primary)","NA","# of facilities providing mental health services","ZaatariCamp","","IMC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",2,"# of facilities","Zaatari Camp (all district)","North",""
"320","EDUCATION","31/01/2015","Access to Inclusive Education","Formal Educ Prim/Secondary","NA","Camps Syrian # of male newly recruited teachers and administrative staff mobilized to serve Syrian refugee children","ZaatariCamp","","RI","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",41,"# of staff","Zaatari District 5","North",""
"333","PROTECTION","31/01/2015","Community Empowered; Services to Vuln","Psychosocial Support","NA","# of women safe spaces operational","ZaatariCamp","","UNWOMEN","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",1,"# of facilities","Zaatari District 3","North",""
"347","PROTECTION","31/01/2015","Community Empowered; Services to Vuln","Psychosocial Support","NA","# of CFS/AFS operational","ZaatariCamp","","IMC","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",5,"# of facilities","Zaatari Camp (all district)","North",""
"350","PROTECTION","31/01/2015","Child Protection","CP Systems Capacity Increased","NA","# of Males GoJ officials, civil society & humanitarian workers trained on CP","ZaatariCamp","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",18,"# of staff","Zaatari Camp (all district)","North",""
"352","PROTECTION","28/02/2015","Child Protection","CP Systems Capacity Increased","NA","# of Females GoJ officials, civil society & humanitarian workers trained on CP","ZaatariCamp","","IRC","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",23,"# of staff","Zaatari Camp (all district)","North",""
"377","PROTECTION","31/01/2015","Community Empowered; Services to Vuln","Psychosocial Support","NA","# of CFS/AFS operational","ZaatariCamp","","NRC","Camp    - ","Indirect appeal","UNICEF","No","1","1711",1,"# of facilities","Zaatari District 10","North",""
"412","EDUCATION","31/01/2015","Quality/Protective Learning Environs.","Training Edc. Service Providers","NA","# of teachers, school supervisors, counsellors and other educational personnel trained","ZaatariCamp","","RI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",41,"# of staff","Zaatari District 5","North",""
"418","SHELTER","28/02/2015","Camps Adequate Shelter & Services","Provision of emergency shelters to af","NA","# of households headed by women, girls, boys or men provided by emergency shelters","ZaatariCamp","","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",140,"# of HH","Zaatari Camp (all district)","North",""
"422","SHELTER","31/01/2015","Camps Adequate Shelter & Services","Provision of semi-permanent shelters ","NA","# of households headed by women, girls, boys or men provided by semi-permanent shelters","ZaatariCamp","","UNHCR","Camp    - ","Appeal outside of 3RP","None - Fund direct from Donors","No","1","1711",1002,"# of HH","Zaatari Camp (all district)","North",""
"429","PROTECTION","31/01/2015","Community Empowered; Services to Vuln","Psychosocial Support","NA","# of CFS/AFS operational","ZaatariCamp","","NRC","Camp    - ","Direct appeal","None - Fund direct from Donors","No","1","1711",1,"# of facilities","Zaatari District 10","North",""
"454","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of FHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",134,"# of case","Zaatari District 12","North",""
"458","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of FHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",200,"# of case","Zaatari District 1","North",""
"461","EDUCATION","28/02/2015","Quality/Protective Learning Environs.","Training Edc. Service Providers","NA","# of teachers, school supervisors, counsellors and other educational personnel trained","ZaatariCamp","","RI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",64,"# of staff","Zaatari District 3","North",""
"462","EDUCATION","31/01/2015","Quality/Protective Learning Environs.","Training Edc. Service Providers","NA","# of teachers, school supervisors, counsellors and other educational personnel trained","ZaatariCamp","","RI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",65,"# of staff","Zaatari District 3","North",""
"473","FOOD","28/02/2015","Access to Food"," School Feeding","NA","Syrian Girls (Age 0-17) receiving school snacks in camp school","ZaatariCamp","","WFP","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",8310,"# of benef","Zaatari Camp (all district)","North",""
"479","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of MHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",730,"# of case","Zaatari District 4","North",""
"488","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of MHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",1096,"# of case","Zaatari District 2","North",""
"504","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of FHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",230,"# of case","Zaatari District 8","North",""
"510","PROTECTION","31/01/2015","Community Empowered; Services to Vuln","Psychosocial Support","NA","# of CFS/AFS operational","ZaatariCamp","","NRC","Camp    - ","Direct appeal","None - Fund direct from Donors","No","1","1711",1,"# of facilities","Zaatari District 8","North",""
"519","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of MHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",1281,"# of case","Zaatari District 11","North",""
"521","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of MHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",1276,"# of case","Zaatari District 8","North",""
"534","EDUCATION","28/02/2015","Quality/Protective Learning Environs.","Training Edc. Service Providers","NA","# of teachers, school supervisors, counsellors and other educational personnel trained","ZaatariCamp","","RI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",42,"# of staff","Zaatari District 8","North",""
"538","EDUCATION","31/01/2015","Access to Inclusive Education","Formal Educ Prim/Secondary","NA","Camps Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","ZaatariCamp","","SC Jordan","Camp    - ","Indirect appeal","UNICEF","No","1","1711",3910,"# of benef","Zaatari Camp (all district)","North",""
"543","EDUCATION","31/01/2015","Access to Inclusive Education","Formal Educ Prim/Secondary","NA","Camps Syrian # of male newly recruited teachers and administrative staff mobilized to serve Syrian refugee children","ZaatariCamp","","RI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",41,"# of staff","Zaatari District 8","North",""
"546","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of FHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",164,"# of case","Zaatari District 5","North",""
"550","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of FHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",185,"# of case","Zaatari District 6","North",""
"554","PROTECTION","28/02/2015","Community Empowered; Services to Vuln","Psychosocial Support","NA","# of CFS/AFS operational","ZaatariCamp","","SCI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",17,"# of facilities","Zaatari Camp (all district)","North",""
"555","PROTECTION","28/02/2015","Child Protection","CP Systems Capacity Increased","NA","# of Females GoJ officials, civil society & humanitarian workers trained on CP","ZaatariCamp","","SCI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",13,"# of staff","Zaatari Camp (all district)","North",""
"559","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of FHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",128,"# of case","Zaatari District 9","North",""
"572","HEALTH","31/01/2015","Integrated Community Interventions","Community Mental Hlth services","NA","# of female community workers trained in psychological first aid","ZaatariCamp","","IMC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",6,"# of staff","Zaatari Camp (all district)","North",""
"585","HEALTH","31/01/2015","Primary Health Care","Mental Health Services (primary)","NA","# of facilities providing mental health services","ZaatariCamp","","MDM","Camp    - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1711",1,"# of facilities","Zaatari District 5","North",""
"586","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of FHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",239,"# of case","Zaatari District 11","North",""
"599","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of MHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",767,"# of case","Zaatari District 3","North",""
"600","BASICNEEDS","31/01/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of MHH receiving seasonal assistance","ZaatariCamp","","JEN","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",779,"# of case","Zaatari District 9","North",""
"603","PROTECTION","31/01/2015","Child Protection","CP Systems Capacity Increased","NA","# of Females GoJ officials, civil society & humanitarian workers trained on CP","ZaatariCamp","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",16,"# of staff","Zaatari Camp (all district)","North",""
"606","PROTECTION","28/02/2015","Child Protection","CP Systems Capacity Increased","NA","# of Males GoJ officials, civil society & humanitarian workers trained on CP","ZaatariCamp","","SCI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",30,"# of staff","Zaatari Camp (all district)","North",""
"611","HEALTH","28/02/2015","Primary Health Care","Inf/Child Feeding practice","NA","# caregivers/ mothers reached with IYCF services","ZaatariCamp","","SC Jordan","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",655,"# of benef","Zaatari Camp (all district)","North",""
"639","PROTECTION","31/01/2015","Child Protection","CP Systems Capacity Increased","NA","# of Males GoJ officials, civil society & humanitarian workers trained on CP","ZaatariCamp","","SCI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",4,"# of staff","Zaatari Camp (all district)","North",""
