,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,Value,Units,location,region,poptype
3563,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF11,# Male Headed Household receiving HH Items,Camps Syrian Women (Age 18 and above)-Male Headed Household receiving HH Items,Zaatari Camp,Women,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,526,# of benef,Campwide,North,Camp
3602,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF11,# Male Headed Household receiving HH Items,Camps Syrian Men (Age 18 and above)-Male Headed Household receiving HH Items,Zaatari Camp,Men,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,610,# of benef,Campwide,North,Camp
3630,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF14,# Female Headed Household receiving seasonal assistance,Camps Syrian Boys (Age 0-17)-Female Headed Household receiving seasonal assistance,Zaatari Camp,Boys,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,6506,# of benef,Campwide,North,Camp
3631,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF14,# Male Headed Household receiving seasonal assistance,Camps Syrian Boys (Age 0-17)-Male Headed Household receiving seasonal assistance,Zaatari Camp,Boys,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,14954,# of benef,Campwide,North,Camp
3669,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF14,# Male Headed Household receiving seasonal assistance,Camps Syrian Men (Age 18 and above)-Male Headed Household receiving seasonal assistance,Zaatari Camp,Men,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,13265,# of benef,Campwide,North,Camp
3686,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF11,# Male Headed Household receiving HH Items,Camps Syrian Girls (Age 0-17)-Male Headed Household receiving HH Items,Zaatari Camp,Girls,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,623,# of benef,Campwide,North,Camp
3704,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF12,# Male Headed Household receiving replenishment of consumable HH items,Camps Syrian Women (Age 18 and above)-Male Headed Household receiving replenishment of consumable HH items,Zaatari Camp,Women,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,12899,# of benef,Campwide,North,Camp
3728,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF11,# Male Headed Household receiving HH Items,Camps Syrian Boys (Age 0-17)-Male Headed Household receiving HH Items,Zaatari Camp,Boys,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,660,# of benef,Campwide,North,Camp
3735,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF14,# Male Headed Household receiving seasonal assistance,Camps Syrian Boys (Age 0-17)-Male Headed Household receiving seasonal assistance,Zaatari Camp,Boys,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,16370,# of benef,Campwide,North,Camp
3743,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF12,# Male Headed Household receiving replenishment of consumable HH items,Camps Syrian Boys (Age 0-17)-Male Headed Household receiving replenishment of consumable HH items,Zaatari Camp,Boys,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,14954,# of benef,Campwide,North,Camp
3753,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF14,# Female Headed Household receiving seasonal assistance,Camps Syrian Girls (Age 0-17)-Female Headed Household receiving seasonal assistance,Zaatari Camp,Girls,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,6144,# of benef,Campwide,North,Camp
3755,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF14,# Female Headed Household receiving seasonal assistance,Camps Syrian Women (Age 18 and above)-Female Headed Household receiving seasonal assistance,Zaatari Camp,Women,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,5300,# of benef,Campwide,North,Camp
3757,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF14,# Male Headed Household receiving seasonal assistance,Camps Syrian Girls (Age 0-17)-Male Headed Household receiving seasonal assistance,Zaatari Camp,Girls,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,15264,# of benef,Campwide,North,Camp
3768,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF11,# Male Headed Household receiving HH Items,Camps Syrian Women (Age 18 and above)-Male Headed Household receiving HH Items,Zaatari Camp,Women,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,574,# of benef,Campwide,North,Camp
3823,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Girls (Age 0-17)-Female Headed Household receiving HH Items,Zaatari Camp,Girls,IRC,Camp    - ,Direct appeal,IRC,Yes,2,# of benef,District 3,North,Camp
3824,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF12,# Male Headed Household receiving replenishment of consumable HH items,Camps Syrian Men (Age 18 and above)-Male Headed Household receiving replenishment of consumable HH items,Zaatari Camp,Men,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,13265,# of benef,Campwide,North,Camp
3859,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF12,# Female Headed Household receiving replenishment of consumable HH items,Camps Syrian Girls (Age 0-17)-Female Headed Household receiving replenishment of consumable HH items,Zaatari Camp,Girls,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,6144,# of benef,Campwide,North,Camp
3861,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Men (Age 18 and above)-Female Headed Household receiving HH Items,Zaatari Camp,Men,IRC,Camp    - ,Direct appeal,IRC,Yes,603,# of benef,District 3,North,Camp
3879,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF14,# Male Headed Household receiving seasonal assistance,Camps Syrian Women (Age 18 and above)-Male Headed Household receiving seasonal assistance,Zaatari Camp,Women,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,12899,# of benef,Campwide,North,Camp
3904,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Boys (Age 0-17)-Female Headed Household receiving HH Items,Zaatari Camp,Boys,IRC,Camp    - ,Direct appeal,IRC,Yes,300,# of benef,District 3,North,Camp
3942,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF12,# Female Headed Household receiving replenishment of consumable HH items,Camps Syrian Women (Age 18 and above)-Female Headed Household receiving replenishment of consumable HH items,Zaatari Camp,Women,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,5300,# of benef,Campwide,North,Camp
3949,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Women (Age 18 and above)-Female Headed Household receiving HH Items,Zaatari Camp,Women,ActionAid,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,50,# of benef,Campwide,North,Camp
3981,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF12,# Female Headed Household receiving replenishment of consumable HH items,Camps Syrian Boys (Age 0-17)-Female Headed Household receiving replenishment of consumable HH items,Zaatari Camp,Boys,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,6506,# of benef,Campwide,North,Camp
4025,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF12,# Female Headed Household receiving replenishment of consumable HH items,Camps Syrian Men (Age 18 and above)-Female Headed Household receiving replenishment of consumable HH items,Zaatari Camp,Men,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,4722,# of benef,Campwide,North,Camp
4043,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF11,# Male Headed Household receiving HH Items,Camps Syrian Girls (Age 0-17)-Male Headed Household receiving HH Items,Zaatari Camp,Girls,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,724,# of benef,Campwide,North,Camp
4044,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Men (Age 18 and above)-Female Headed Household receiving HH Items,Zaatari Camp,Men,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,211,# of benef,Campwide,North,Camp
4146,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF12,# Male Headed Household receiving replenishment of consumable HH items,Camps Syrian Girls (Age 0-17)-Male Headed Household receiving replenishment of consumable HH items,Zaatari Camp,Girls,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,15264,# of benef,Campwide,North,Camp
4167,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF11,# Male Headed Household receiving HH Items,Camps Syrian Men (Age 18 and above)-Male Headed Household receiving HH Items,Zaatari Camp,Men,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,483,# of benef,Campwide,North,Camp
4168,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Women (Age 18 and above)-Female Headed Household receiving HH Items,Zaatari Camp,Women,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,225,# of benef,Campwide,North,Camp
4170,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Women (Age 18 and above)-Female Headed Household receiving HH Items,Zaatari Camp,Women,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,118,# of benef,Campwide,North,Camp
4174,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF11,# Male Headed Household receiving HH Items,Camps Syrian Boys (Age 0-17)-Male Headed Household receiving HH Items,Zaatari Camp,Boys,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,767,# of benef,Campwide,North,Camp
4193,BASICNEEDS,1/2/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Women (Age 18 and above)-Female Headed Household receiving HH Items,Zaatari Camp,Women,ActionAid,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,350,# of benef,Campwide,North,Camp
4209,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Boys (Age 0-17)-Female Headed Household receiving HH Items,Zaatari Camp,Boys,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,145,# of benef,Campwide,North,Camp
4363,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Girls (Age 0-17)-Female Headed Household receiving HH Items,Zaatari Camp,Girls,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,267,# of benef,Campwide,North,Camp
4365,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF14,# Female Headed Household receiving seasonal assistance,Camps Syrian Men (Age 18 and above)-Female Headed Household receiving seasonal assistance,Zaatari Camp,Men,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,4722,# of benef,Campwide,North,Camp
4369,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Boys (Age 0-17)-Female Headed Household receiving HH Items,Zaatari Camp,Boys,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,282,# of benef,Campwide,North,Camp
4425,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF14,# Female Headed Household receiving seasonal assistance,Camps Syrian Girls (Age 0-17)-Female Headed Household receiving seasonal assistance,Zaatari Camp,Girls,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,6405,# of benef,Campwide,North,Camp
4525,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Men (Age 18 and above)-Female Headed Household receiving HH Items,Zaatari Camp,Men,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,108,# of benef,Campwide,North,Camp
4551,BASICNEEDS,1/3/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Girls (Age 0-17)-Female Headed Household receiving HH Items,Zaatari Camp,Girls,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,137,# of benef,Campwide,North,Camp
4576,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF14,# Male Headed Household receiving seasonal assistance,Camps Syrian Girls (Age 0-17)-Male Headed Household receiving seasonal assistance,Zaatari Camp,Girls,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,15480,# of benef,Campwide,North,Camp
4609,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF14,# Female Headed Household receiving seasonal assistance,Camps Syrian Boys (Age 0-17)-Female Headed Household receiving seasonal assistance,Zaatari Camp,Boys,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,6778,# of benef,Campwide,North,Camp
4618,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Boys (Age 0-17)-Female Headed Household receiving HH Items,Zaatari Camp,Boys,UNHCR,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,1000,# of benef,District 1,North,Camp
4632,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF14,# Female Headed Household receiving seasonal assistance,Camps Syrian Women (Age 18 and above)-Female Headed Household receiving seasonal assistance,Zaatari Camp,Women,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,5408,# of benef,Campwide,North,Camp
4636,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF14,# Male Headed Household receiving seasonal assistance,Camps Syrian Men (Age 18 and above)-Male Headed Household receiving seasonal assistance,Zaatari Camp,Men,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,12224,# of benef,Campwide,North,Camp
4641,BASICNEEDS,1/2/2015,Basic HH Needs are met,REF11,# Female Headed Household receiving HH Items,Camps Syrian Boys (Age 0-17)-Female Headed Household receiving HH Items,Zaatari Camp,Boys,UNHCR,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,1000,# of benef,District 1,North,Camp
4645,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF14,# Female Headed Household receiving seasonal assistance,Camps Syrian Men (Age 18 and above)-Female Headed Household receiving seasonal assistance,Zaatari Camp,Men,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,5054,# of benef,Campwide,North,Camp
4652,BASICNEEDS,1/1/2015,Basic HH Needs are met,REF14,# Male Headed Household receiving seasonal assistance,Camps Syrian Women (Age 18 and above)-Male Headed Household receiving seasonal assistance,Zaatari Camp,Women,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,13081,# of benef,Campwide,North,Camp
3542,EDUCATION,1/2/2015,Quality/Protective Learning Environs.,[REF2.1] PSS activities,"# benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being","Camps Syrian Girls (Age 0-17) benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being",Zaatari Camp,Girls,FCA,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,13,# of benef,District 4,North,Camp
3560,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Camps Syrian Boys (Age 0-17) benefiting from life skills activities,Zaatari Camp,Boys,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,No,205,# of benef,District 10,North,Camp
3582,EDUCATION,1/2/2015,Quality/Protective Learning Environs.,[REF2.1] PSS activities,"# benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being","Camps Syrian Boys (Age 0-17) benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being",Zaatari Camp,Boys,FCA,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,40,# of benef,District 4,North,Camp
3585,EDUCATION,1/1/2015,Quality/Protective Learning Environs.,[REF2.1] PSS activities,"# benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being","Camps Syrian Girls (Age 0-17) benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being",Zaatari Camp,Girls,FCA,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,3,# of benef,District 4,North,Camp
3599,EDUCATION,1/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Camps Syrian Boys (Age 0-17) benefiting from life skills activities,Zaatari Camp,Boys,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,No,567,# of benef,District 10,North,Camp
3614,EDUCATION,1/2/2015,Quality/Protective Learning Environs.,[REF2.1] PSS activities,"# benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being","Camps Syrian Boys (Age 0-17) benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being",Zaatari Camp,Boys,RI,Camp    - ,Indirect appeal,UNICEF,Yes,74,# of benef,District 3,North,Camp
3615,EDUCATION,1/2/2015,Quality/Protective Learning Environs.,[REF2.1] PSS activities,"# benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being","Camps Syrian Girls (Age 0-17) benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being",Zaatari Camp,Girls,RI,Camp    - ,Indirect appeal,UNICEF,Yes,141,# of benef,District 3,North,Camp
3711,EDUCATION,1/2/2015,Quality/Protective Learning Environs.,[REF2.1] PSS activities,"# benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being","Camps Syrian Girls (Age 0-17) benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being",Zaatari Camp,Girls,WarChild UK,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,20,# of benef,District 10,North,Camp
3719,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# benefiting  from remedial classes,Camps Syrian Girls (Age 0-17) who benefit from remedial classes,Zaatari Camp,Girls,RI,Camp    - ,Indirect appeal,UNICEF,Yes,260,# of benef,District 3,North,Camp
3754,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# benefiting  from remedial classes,Camps Syrian Boys (Age 0-17) who benefit from remedial classes,Zaatari Camp,Boys,RI,Camp    - ,Indirect appeal,UNICEF,Yes,174,# of benef,District 8,North,Camp
