"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"39","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",1842,"NRC","01/04/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Women","Camp"
"41","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",1105,"NRC","01/03/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Women","Camp"
"43","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",855,"NRC","01/02/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Women","Camp"
"44","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",1384,"NRC","01/04/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Men","Camp"
"45","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",2403,"NRC","01/05/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Girls","Camp"
"46","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",1881,"NRC","01/05/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Women","Camp"
"48","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",830,"NRC","01/03/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Men","Camp"
"49","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",1043,"NRC","01/06/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Girls","Camp"
"50","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",1455,"NRC","01/05/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Men","Camp"
"52","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",2042,"NRC","01/04/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Girls","Camp"
"54","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",612,"NRC","01/06/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Men","Camp"
"55","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",841,"NRC","01/06/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Women","Camp"
"56","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",1225,"NRC","01/03/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Girls","Camp"
