"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"1335","EDUCATION","31/1/2016","Train Education Providers","[REF2.1.1]Train Service Providers","# of MALE KG facilitators trained","# of MALE KG facilitators trained","BALQA","","Caritas","   Urban areas - ","Direct Implementation","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center",""
"1452","EDUCATION","31/1/2016","Train Education Providers","[REF2.1.1]Train Service Providers","# of FEMALE education services providers trained","# of FEMALE education services providers trained","BALQA","","Caritas","   Urban areas - ","Direct Implementation","Caritas","Yes","2","1702",21,"#","Al Balqa Governorate","Center",""
"1566","EDUCATION","31/1/2016","Train Education Providers","[REF2.1.1]Train Service Providers","# of FEMALE KG facilitators trained","# of FEMALE KG facilitators trained","BALQA","","Caritas","   Urban areas - ","Direct Implementation","Caritas","Yes","2","1702",13,"#","Al Balqa Governorate","Center",""
"1567","EDUCATION","31/1/2016","Train Education Providers","[REF2.1.1]Train Service Providers","# of MALE education services providers trained","# of MALE education services providers trained","BALQA","","Caritas","   Urban areas - ","Direct Implementation","Caritas","Yes","2","1702",3,"#","Al Balqa Governorate","Center",""
"1899","EDUCATION","31/1/2016","Train Education Providers","[REF2.1.1]Train Service Providers","# of FEMALE education services providers trained","# of FEMALE education services providers trained","AMMAN","","Caritas","   Urban areas - ","Direct Implementation","Caritas","Yes","2","1705",107,"#","Amman Governorate","Center",""
"3240","EDUCATION","31/1/2016","Train Education Providers","[REF2.1.1]Train Service Providers","# of MALE KG facilitators trained","# of MALE KG facilitators trained","AMMAN","","Caritas","   Urban areas - ","Direct Implementation","Caritas","Yes","2","1705",0,"#","Amman Governorate","Center",""
"3565","EDUCATION","31/1/2016","Train Education Providers","[REF2.1.1]Train Service Providers","# of MALE education services providers trained","# of MALE education services providers trained","AMMAN","","Caritas","   Urban areas - ","Direct Implementation","Caritas","Yes","2","1705",11,"#","Amman Governorate","Center",""
"3604","EDUCATION","31/1/2016","Train Education Providers","[REF2.1.1]Train Service Providers","# of FEMALE KG facilitators trained","# of FEMALE KG facilitators trained","AMMAN","","Caritas","   Urban areas - ","Direct Implementation","Caritas","Yes","2","1705",41,"#","Amman Governorate","Center",""
"4291","EDUCATION","31/1/2016","Train Education Providers","[REF2.1.1]Train Service Providers","# of FEMALE education services providers trained","# of FEMALE education services providers trained","IRBID","","MECI","   Urban areas - ","Indirect Implementation","UNICEF","Yes","1","1707",0,"#","Ar-Ramtha City","North",""
"4292","EDUCATION","31/1/2016","Train Education Providers","[REF2.1.1]Train Service Providers","# of MALE education services providers trained","# of MALE education services providers trained","IRBID","","MECI","   Urban areas - ","Indirect Implementation","UNICEF","Yes","1","1707",0,"#","Ar-Ramtha City","North",""
