"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"37278","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15387,"WFP","01/04/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"37279","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15405,"WFP","01/03/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"37280","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",20952,"WFP","01/04/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"37281","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",21000,"WFP","01/02/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"37282","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22267,"WFP","01/03/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"37283","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22152,"WFP","01/01/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"37284","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17311,"WFP","01/05/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"37285","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15325,"WFP","01/01/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"37286","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17371,"WFP","01/02/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"37287","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",20928,"WFP","01/05/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"37288","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22217,"WFP","01/05/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"37289","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",20975,"WFP","01/03/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"37290","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22242,"WFP","01/04/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"37291","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15370,"WFP","01/05/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
