"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"39194","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",323,"JHAS","01/07/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"39195","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",263,"JHAS","01/04/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"39196","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/06/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"39197","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/07/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"39198","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/01/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"39199","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/03/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"39200","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",280,"JHAS","01/04/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"39201","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",136,"JHAS","01/01/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"39202","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/04/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"39203","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",165,"JHAS","01/06/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"39204","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",253,"JHAS","01/03/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"39205","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",203,"JHAS","01/04/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"39206","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",542,"JHAS","01/05/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"39207","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",239,"JHAS","01/02/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"39208","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",288,"JHAS","01/03/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"39209","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",531,"JHAS","01/05/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"39210","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/02/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"39211","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",183,"JHAS","01/02/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"39212","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",181,"JHAS","01/02/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"39213","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",275,"JHAS","01/06/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"39214","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",127,"JHAS","01/01/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"39215","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/05/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"39216","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",247,"JHAS","01/07/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"39217","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",270,"JHAS","01/06/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"39218","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",315,"JHAS","01/07/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"39219","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",279,"JHAS","01/01/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"39220","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",195,"JHAS","01/05/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"39221","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",279,"JHAS","01/03/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"39222","# of vaccinations provided to SYRIAN_GIRLS_IN_URBAN","#",0,"Caritas","01/06/2016","Direct Implementation","Caritas","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","Central","HEALTH","BALQA","Girls","Urban"
"39223","# of vaccinations provided to GIRLS_IN_HOST_COMMUNITY","#",0,"Caritas","01/06/2016","Direct Implementation","Caritas","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","Central","HEALTH","BALQA","Girls","Host Community"
"39224","# of vaccinations provided to SYRIAN_BOYS_IN_URBAN","#",18,"Caritas","01/01/2016","Direct Implementation","Caritas","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","Central","HEALTH","BALQA","Boys","Urban"
"39225","# of vaccinations provided to MEN_IN_HOST_COMMUNITY","#",0,"Caritas","01/05/2016","Direct Implementation","Caritas","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","Central","HEALTH","BALQA","Men","Host Community"
"39226","# of vaccinations provided to BOYS_IN_HOST_COMMUNITY","#",0,"Caritas","01/02/2016","Direct Implementation","Caritas","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","Central","HEALTH","BALQA","Boys","Host Community"
"39227","# of vaccinations provided to MEN_IN_HOST_COMMUNITY","#",0,"Caritas","01/03/2016","Direct Implementation","Caritas","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","Central","HEALTH","BALQA","Men","Host Community"
"39228","# of vaccinations provided to SYRIAN_WOMEN_IN_URBAN","#",0,"Caritas","01/04/2016","Direct Implementation","Caritas","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","Central","HEALTH","BALQA","Women","Urban"
"39229","# of vaccinations provided to SYRIAN_MEN_IN_URBAN","#",0,"Caritas","01/04/2016","Direct Implementation","Caritas","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","Central","HEALTH","BALQA","Men","Urban"
