"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"2350","HEALTH","31/3/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to MEN_IN_HOST_COMMUNITY","# of vaccinations provided to MEN_IN_HOST_COMMUNITY","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Host Community"
"2686","HEALTH","31/5/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to WOMEN_IN_HOST_COMMUNITY","# of vaccinations provided to WOMEN_IN_HOST_COMMUNITY","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Host Community"
"2688","HEALTH","31/5/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_WOMEN_IN_URBAN","# of vaccinations provided to SYRIAN_WOMEN_IN_URBAN","BALQA","Women","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
"3114","HEALTH","29/2/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to MEN_IN_HOST_COMMUNITY","# of vaccinations provided to MEN_IN_HOST_COMMUNITY","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Host Community"
"3181","HEALTH","31/5/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_GIRLS_IN_URBAN","# of vaccinations provided to SYRIAN_GIRLS_IN_URBAN","BALQA","Girls","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
"3467","HEALTH","31/1/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to BOYS_IN_HOST_COMMUNITY","# of vaccinations provided to BOYS_IN_HOST_COMMUNITY","BALQA","Boys","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",26,"#","Al Balqa Governorate","Center","Host Community"
"3543","HEALTH","30/6/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_BOYS_IN_URBAN","# of vaccinations provided to SYRIAN_BOYS_IN_URBAN","BALQA","Boys","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
"3563","HEALTH","31/1/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to MEN_IN_HOST_COMMUNITY","# of vaccinations provided to MEN_IN_HOST_COMMUNITY","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",9,"#","Al Balqa Governorate","Center","Host Community"
"3946","HEALTH","30/6/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_WOMEN_IN_URBAN","# of vaccinations provided to SYRIAN_WOMEN_IN_URBAN","BALQA","Women","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
"3951","HEALTH","31/5/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_MEN_IN_URBAN","# of vaccinations provided to SYRIAN_MEN_IN_URBAN","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center",""
"3971","HEALTH","29/2/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to BOYS_IN_HOST_COMMUNITY","# of vaccinations provided to BOYS_IN_HOST_COMMUNITY","BALQA","Boys","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Host Community"
"4053","HEALTH","29/2/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_BOYS_IN_URBAN","# of vaccinations provided to SYRIAN_BOYS_IN_URBAN","BALQA","Boys","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
"4230","HEALTH","30/6/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_GIRLS_IN_URBAN","# of vaccinations provided to SYRIAN_GIRLS_IN_URBAN","BALQA","Girls","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
"4246","HEALTH","29/2/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_MEN_IN_URBAN","# of vaccinations provided to SYRIAN_MEN_IN_URBAN","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center",""
"4491","HEALTH","29/2/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_GIRLS_IN_URBAN","# of vaccinations provided to SYRIAN_GIRLS_IN_URBAN","BALQA","Girls","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
"4696","HEALTH","30/4/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to WOMEN_IN_HOST_COMMUNITY","# of vaccinations provided to WOMEN_IN_HOST_COMMUNITY","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Host Community"
"4787","HEALTH","31/3/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to WOMEN_IN_HOST_COMMUNITY","# of vaccinations provided to WOMEN_IN_HOST_COMMUNITY","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Host Community"
"5121","HEALTH","30/6/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to BOYS_IN_HOST_COMMUNITY","# of vaccinations provided to BOYS_IN_HOST_COMMUNITY","BALQA","Boys","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Host Community"
"5155","HEALTH","31/3/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to BOYS_IN_HOST_COMMUNITY","# of vaccinations provided to BOYS_IN_HOST_COMMUNITY","BALQA","Boys","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Host Community"
"5394","HEALTH","31/3/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_MEN_IN_URBAN","# of vaccinations provided to SYRIAN_MEN_IN_URBAN","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center",""
"5438","HEALTH","31/3/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_BOYS_IN_URBAN","# of vaccinations provided to SYRIAN_BOYS_IN_URBAN","BALQA","Boys","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
"5611","HEALTH","30/4/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_MEN_IN_URBAN","# of vaccinations provided to SYRIAN_MEN_IN_URBAN","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center",""
"5705","HEALTH","31/1/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_BOYS_IN_URBAN","# of vaccinations provided to SYRIAN_BOYS_IN_URBAN","BALQA","Boys","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",18,"#","Al Balqa Governorate","Center","Urban"
"5975","HEALTH","30/4/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_BOYS_IN_URBAN","# of vaccinations provided to SYRIAN_BOYS_IN_URBAN","BALQA","Boys","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
"5978","HEALTH","31/5/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to MEN_IN_HOST_COMMUNITY","# of vaccinations provided to MEN_IN_HOST_COMMUNITY","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Host Community"
"6052","HEALTH","30/4/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_WOMEN_IN_URBAN","# of vaccinations provided to SYRIAN_WOMEN_IN_URBAN","BALQA","Women","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
"6056","HEALTH","30/4/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_GIRLS_IN_URBAN","# of vaccinations provided to SYRIAN_GIRLS_IN_URBAN","BALQA","Girls","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
"6199","HEALTH","31/3/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_WOMEN_IN_URBAN","# of vaccinations provided to SYRIAN_WOMEN_IN_URBAN","BALQA","Women","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
"6692","HEALTH","31/3/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_GIRLS_IN_URBAN","# of vaccinations provided to SYRIAN_GIRLS_IN_URBAN","BALQA","Girls","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
"6802","HEALTH","29/2/2016","Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","# of vaccinations provided to SYRIAN_WOMEN_IN_URBAN","# of vaccinations provided to SYRIAN_WOMEN_IN_URBAN","BALQA","Women","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"#","Al Balqa Governorate","Center","Urban"
