"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"95914","# of SYRIAN_MEN_IN_URBAN receiving legal information, counselling and/or representation","# men",1,"NRC","01/04/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF1.1.1]Access to Legal Assistance","North","JUS","JARASH","Men","Urban"
"95915","# of SYRIAN_WOMEN_IN_URBAN receiving legal information, counselling and/or representation","# women",6,"NRC","01/03/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF1.1.1]Access to Legal Assistance","North","JUS","JARASH","Women","Urban"
"95916","# of SYRIAN_WOMEN_IN_URBAN receiving legal information, counselling and/or representation","# women",7,"NRC","01/02/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF1.1.1]Access to Legal Assistance","North","JUS","JARASH","Women","Urban"
"95917","# of SYRIAN_WOMEN_IN_URBAN receiving legal information, counselling and/or representation","# women",5,"NRC","01/01/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF1.1.1]Access to Legal Assistance","North","JUS","JARASH","Women","Urban"
"95918","# of SYRIAN_MEN_IN_URBAN receiving legal information, counselling and/or representation","# men",2,"NRC","01/03/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF1.1.1]Access to Legal Assistance","North","JUS","JARASH","Men","Urban"
"95919","# of SYRIAN_MEN_IN_URBAN receiving legal information, counselling and/or representation","# men",0,"NRC","01/06/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF1.1.1]Access to Legal Assistance","North","JUS","JARASH","Men","Urban"
"95920","# of SYRIAN_MEN_IN_URBAN receiving legal information, counselling and/or representation","# men",1,"NRC","01/05/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF1.1.1]Access to Legal Assistance","North","JUS","JARASH","Men","Urban"
"95921","# of SYRIAN_WOMEN_IN_URBAN receiving legal information, counselling and/or representation","# women",0,"NRC","01/06/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF1.1.1]Access to Legal Assistance","North","JUS","JARASH","Women","Urban"
"95922","# of SYRIAN_WOMEN_IN_URBAN receiving legal information, counselling and/or representation","# women",1,"NRC","01/04/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF1.1.1]Access to Legal Assistance","North","JUS","JARASH","Women","Urban"
"95923","# of SYRIAN_MEN_IN_URBAN receiving legal information, counselling and/or representation","# men",2,"NRC","01/02/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF1.1.1]Access to Legal Assistance","North","JUS","JARASH","Men","Urban"
"95924","# of SYRIAN_WOMEN_IN_URBAN receiving legal information, counselling and/or representation","# women",2,"NRC","01/05/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF1.1.1]Access to Legal Assistance","North","JUS","JARASH","Women","Urban"
"95925","# of SYRIAN_MEN_IN_URBAN receiving legal information, counselling and/or representation","# men",2,"NRC","01/01/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF1.1.1]Access to Legal Assistance","North","JUS","JARASH","Men","Urban"
"95926","# of SYRIAN_WOMEN_IN_URBAN receiving legal information, counselling and/or representation","# women",3,"AWO","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.1.1]Access to Legal Assistance","Central","JUS","ZARQA","Women","Urban"
"95927","# of WOMEN_IN_HOST_COMMUNITY receiving legal information, counselling and/or representation","# women",7,"AWO","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.1.1]Access to Legal Assistance","Central","JUS","ZARQA","Men","Host Community"
"95928","# of SYRIAN_WOMEN_IN_URBAN receiving legal information, counselling and/or representation","# women",4,"AWO","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.1.1]Access to Legal Assistance","Central","JUS","ZARQA","Women","Urban"
"95929","# of WOMEN_IN_HOST_COMMUNITY receiving legal information, counselling and/or representation","# women",3,"AWO","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.1.1]Access to Legal Assistance","Central","JUS","ZARQA","Men","Host Community"
"95930","# of SYRIAN_GIRLS_IN_URBAN receiving legal information, counselling and/or representation","# girls",3,"AWO","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.1.1]Access to Legal Assistance","Central","JUS","ZARQA","Girls","Urban"
"95931","# of GIRLS_IN_HOST_COMMUNITY receiving legal information, counselling and/or representation","# girls",3,"AWO","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.1.1]Access to Legal Assistance","Central","JUS","ZARQA","Girls","Host Community"
"95932","# of SYRIAN_WOMEN_IN_URBAN receiving legal information, counselling and/or representation","# women",8,"AWO","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.1.1]Access to Legal Assistance","Central","JUS","ZARQA","Women","Urban"
"95933","# of SYRIAN_GIRLS_IN_URBAN receiving legal information, counselling and/or representation","# girls",5,"AWO","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.1.1]Access to Legal Assistance","Central","JUS","ZARQA","Girls","Urban"
"95934","# of GIRLS_IN_HOST_COMMUNITY receiving legal information, counselling and/or representation","# girls",3,"AWO","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.1.1]Access to Legal Assistance","Central","JUS","ZARQA","Girls","Host Community"
"95935","# of WOMEN_IN_HOST_COMMUNITY receiving legal information, counselling and/or representation","# women",5,"AWO","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.1.1]Access to Legal Assistance","Central","JUS","ZARQA","Men","Host Community"
"95936","# of GIRLS_IN_HOST_COMMUNITY receiving legal information, counselling and/or representation","# girls",3,"AWO","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.1.1]Access to Legal Assistance","Central","JUS","ZARQA","Girls","Host Community"
"95937","# of SYRIAN_GIRLS_IN_URBAN receiving legal information, counselling and/or representation","# girls",6,"AWO","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.1.1]Access to Legal Assistance","Central","JUS","ZARQA","Girls","Urban"
"95938","# of GIRLS_IN_HOST_COMMUNITY receiving legal information, counselling and/or representation","# girls",4,"AWO","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.1.1]Access to Legal Assistance","Central","JUS","ZARQA","Girls","Host Community"
