"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"1","HEALTH","01/01/2015","Primary Health Care","Inf/Child Feeding practice","NA","# caregivers/ mothers reached with IYCF services","AzraqCamp","","SC Jordan","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",350,"# of benef","Azraq Camp","North",""
"2","BASIC NEEDS","01/02/2015","Basic HH Needs are met","Cash,Vouchers for most vuln.","NA","# of MHH assisted","AJLOUN","","ICMC","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1701",3,"# of case","Liwa Qasabat Ajlun","North",""
"3","BASIC NEEDS","01/02/2015","Basic HH Needs are met","Cash,Vouchers for most vuln.","NA","# of MHH assisted","AJLOUN","","UNHCR","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1701",108,"# of case","Ajlun Governorate","North",""
"4","BASIC NEEDS","01/01/2015","Basic HH Needs are met","Cash,Vouchers for most vuln.","NA","# of MHH assisted","JARASH","","ICMC","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1708",13,"# of case","Liwa Qasabat Jarash","North",""
"5","BASIC NEEDS","01/01/2015","Basic HH Needs are met","Cash,Vouchers for most vuln.","NA","# of MHH assisted","AJLOUN","","ICMC","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1701",3,"# of case","Liwa Qasabat Ajlun","North",""
"6","EDUCATION","01/02/2015","Quality/Protective Learning Environs.","Training Edc. Service Providers","NA","# of teachers, school supervisors, counsellors and other educational personnel trained","AzraqCamp","","NRC","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",7,"# of staff","Azraq Camp Village 3","North",""
"7","PROTECTION","01/01/2015","Child Protection","CP Systems Capacity Increased","NA","# of Females GoJ officials, civil society & humanitarian workers trained on CP","AMMAN","","NHF-IFH","   Urban areas - ","Indirect appeal","UNHCR","Yes","2","1705",12,"# of staff","Amman Governorate","Center",""
"8","HEALTH","01/01/2015","Primary Health Care","Improved NCD Mngt","NA","# of Health care staff (including MoH) trained to provide NCD management","BALQA","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1702",1,"# of staff","As Salt City","Center",""
"9","EDUCATION","01/02/2015","Access to Inclusive Education","Formal Educ Prim/Secondary","NA","Camps Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","ZaatariCamp","","SC Jordan","Camp    - ","Indirect appeal","UNICEF","No","1","1711",70469,"# of benef","Zaatari Camp (all district)","North",""
"10","BASIC NEEDS","01/02/2015","Basic HH Needs are met","Seasonal Assist for Harsh Weather","NA","# of FHH receiving seasonal assistance","AMMAN","","PU-AMI","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",14,"# of case","Amman Governorate","Center",""
"11","BASIC NEEDS","01/02/2015","Basic HH Needs are met","Cash,Vouchers for most vuln.","NA","# of FHH assisted","MAFRAQ","","ICMC","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",37,"# of case","Liwa al Badiyah ash Shamaliyah","North",""
"12","BASIC NEEDS","01/01/2015","Basic HH Needs are met","Cash,Vouchers for most vuln.","NA","Total Amount distributed this month in USD","MAAN","","UNHCR","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1709",45565,"USD","Maan Governorate","South",""
"13","PROTECTION","01/01/2015","Community Empowered; Services to Vuln","Psychosocial Support","NA","# of CFS/AFS operational","IRBID","","SCI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1707",1,"# of facilities","King Abdullah Park Refugee Center","North",""
"14","EDUCATION","01/02/2015","Access to Inclusive Education","Formal Educ Prim/Secondary","NA","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","AMMAN","","EAC","   Urban areas - ","Indirect appeal","UNICEF","Yes","2","1705",54,"# of benef.","Liwa Marka","Center",""
"15","SHELTER","01/02/2015","Urban/Rural Adequate Shelter","Provision of sealing off kits","NA","# of sealing off kits distributed to mitigate harsh weather conditions","AMMAN","","PU-AMI","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",116,"# of item","Amman Governorate","Center",""
"16","PROTECTION","01/01/2015","Community Empowered; Services to Vuln","Psychosocial Support","NA","# of CFS/AFS operational","BALQA","","ICCS","   Urban areas - ","Indirect appeal","UNICEF","Yes","2","1702",1,"# of facilities","Liwa ash Shunah al Janubiyah","Center",""
"17","EDUCATION","01/02/2015","Access to Inclusive Education","Formal Educ Prim/Secondary","NA","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","MAFRAQ","","SC Jordan","   Urban areas - ","Indirect appeal","UNICEF","No","1","1711",13,"# of benef.","Mafraq Governorate","North",""
"18","EDUCATION","01/02/2015","Access to Inclusive Education","Formal Educ Prim/Secondary","NA","Host Community # of male newly recruited teachers and administrative staff mobilized to serve Syrian refugee children","AMMAN","","EAC","   Urban areas - ","Indirect appeal","UNICEF","Yes","2","1705",7,"# of benef.","Liwa Marka","Center",""
"19","BASIC NEEDS","01/01/2015","Basic HH Needs are met","Cash,Vouchers for most vuln.","NA","# of FHH assisted","ZARQA","","HI","  Other[Villages, Rural areas]Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",25,"# of case","Zarqa Governorate","North",""
"20","EDUCATION","01/01/2015","Access to Inclusive Education","Formal Educ Prim/Secondary","NA","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","MAFRAQ","","SC Jordan","   Urban areas - ","Indirect appeal","UNICEF","No","1","1711",21,"# of benef.","Mafraq Governorate","North",""
"21","SHELTER","01/02/2015","Urban/Rural Adequate Shelter","Completion of unfinished housing unit","NA","# of housing units completed in unfinished buildings","IRBID","","NRC","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1707",2,"# equipment","Liwa al Kurah","North",""
"22","BASIC NEEDS","01/02/2015","Basic HH Needs are met","Cash,Vouchers for most vuln.","NA","Total Amount distributed this month in USD","IRBID","","ICMC","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1707",889,"USD","Liwa al Wasatiyah","North",""
"23","HEALTH","01/01/2015","Integrated Community Interventions","Community Health Teams","NA","Syrian Women  # active community health volunteers","IRBID","","MEDAIR","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1707",2,"# of benef","Irbid Governorate","North",""
