"","Governorate","sector","activity","partner","Area","Refugee.Camps","End","Total","Objective","Sector","Output","Implementation","RegionCODE","Area2","units"
"1","Ajlun","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","APS","Ajlun Governorate",,"2016-12",95353,"SGBV","PROTECTION","Community members engaged","direct",1701,"AJLOUN","USD $"
"2","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","ICMC","Ajlun Governorate",,"2016-12",4,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# boys"
"3","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","NRC","Ajlun Governorate",,"2016-12",0,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# men"
"4","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","NRC","Ajlun Governorate",,"2016-12",0,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# women"
"5","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","Mercy Corps","Ajlun Governorate",,"2016-12",66,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# FHH"
"6","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","NRC","Ajlun Governorate",,"2016-12",65,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"7","Ajlun","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","NRC","Ajlun Governorate",,"2016-12",136,"Cash for Rent","SHELTER","Cash for Rent","direct",1701,"AJLOUN","# HH"
"8","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","ICMC","Ajlun Governorate",,"2016-12",78,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# girls"
"9","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","UNHCR","Ajlun Governorate",,"2016-12",0,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","%"
"10","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","ICMC","Ajlun Governorate",,"2016-12",2,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# men"
