,locationName,locationId,indicatorId,indicatorName,units,indicatorCategory,value,activityId,activityName,activityCategory,month,locationCode,partnerId,partnerName,Implementation,implementation..direct.indirect.,locationx,locationy,governorate,region,district,subdistrict,refugee.camps,camp.districts,databaseId,databaseName,Sector,activity2,objective,RegionCODE,Area2
1,Ajlun Governorate,652847580,1788109713,% already funded?  Enter % of financial requirements that are already funded (100% if fully funded; 0% if not yet funded),%,,100,43231,[RES3.2.1]Constr. Schools,EDU[RES3.2]Formal Educ. for JOR,2015-10,JOR001,436,WVI,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,EDUCATION,Constr. Schools,Formal Educ. for JOR,1701,AJLOUN
2,Ajlun Governorate,652847580,253182923,Budget Requirement for 2016,USD $,,48820,43228,[RES2.2.3]Engage Parents etc,"EDU[RES2.2]Safe, Violence-Free, Learning for JOR",2015-10,JOR001,436,WVI,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,EDUCATION,Engage Parents etc,"Safe, Violence-Free, Learning for JOR",1701,AJLOUN
3,Ajlun Governorate,652847580,1150776830,% already funded?  Enter % of financial requirements that are already funded (100% if fully funded; 0% if not yet funded),%,,100,43225,[RES2.1.4]Community Training,EDU[RES2.1]Teacher Training JOR,2015-10,JOR001,436,WVI,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,EDUCATION,Community Training,Teacher Training JOR,1701,AJLOUN
4,Ajlun Governorate,652847580,487888154,Budget Requirement for 2016,USD $,,48820,43225,[RES2.1.4]Community Training,EDU[RES2.1]Teacher Training JOR,2015-10,JOR001,436,WVI,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,EDUCATION,Community Training,Teacher Training JOR,1701,AJLOUN
5,Ajlun Governorate,652847580,1262064985,Budget Requirement for 2016,USD $,,1412,43242,[RES1.1.3]Awarenesss events,ENG[RES1.1]Energy Efficiency,2016-01,JOR001,20,NRC,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,ENERGY,Awarenesss events,Energy Efficiency,1701,AJLOUN
6,Ajlun Governorate,652847580,386060427,Budget Requirement for 2016,USD $,,165254,43245,[RES1.2.3]Solar Water heaters,ENG[RES1.2]RE&EE Solutions,2016-01,JOR001,20,NRC,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,ENERGY,Solar Water heaters,RE&EE Solutions,1701,AJLOUN
7,Ajlun Governorate,652847580,584586017,# of new PTAs established and trained.,#,,8,43228,[RES2.2.3]Engage Parents etc,"EDU[RES2.2]Safe, Violence-Free, Learning for JOR",2015-10,JOR001,436,WVI,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,EDUCATION,Engage Parents etc,"Safe, Violence-Free, Learning for JOR",1701,AJLOUN
8,Ajlun Governorate,652847580,626244713,Budget Requirement for 2016,USD $,,330508,43244,[RES1.2.2]PV panel systems,ENG[RES1.2]RE&EE Solutions,2016-01,JOR001,20,NRC,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,ENERGY,PV panel systems,RE&EE Solutions,1701,AJLOUN
9,Ajlun Governorate,652847580,1462296332,% already funded?  Enter % of financial requirements that are already funded (100% if fully funded; 0% if not yet funded),%,,22,43244,[RES1.2.2]PV panel systems,ENG[RES1.2]RE&EE Solutions,2016-01,JOR001,20,NRC,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,ENERGY,PV panel systems,RE&EE Solutions,1701,AJLOUN
10,Ajlun Governorate,652847580,426289344,# of households/ institutaions where PV are installed,# HH,,9,43244,[RES1.2.2]PV panel systems,ENG[RES1.2]RE&EE Solutions,2016-01,JOR001,20,NRC,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,ENERGY,PV panel systems,RE&EE Solutions,1701,AJLOUN
11,Ajlun Governorate,652847580,1490137543,Training of Trainers to deliver ECE curriculum was conducted by the In-service training institute,#,,4,43230,[RES3.1.1]KG teachers trained on ECE,EDU[RES3.1]KG for JOR,2015-10,JOR001,436,WVI,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,EDUCATION,KG teachers trained on ECE,KG for JOR,1701,AJLOUN
12,Ajlun Governorate,652847580,269416073,# of households provided with Energy saving lights (each house holds 10 LED lights),# HH,,100,43243,[RES1.2.1]LED Lights,ENG[RES1.2]RE&EE Solutions,2016-01,JOR001,20,NRC,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,ENERGY,LED Lights,RE&EE Solutions,1701,AJLOUN
13,Ajlun Governorate,652847580,854642980,"# of boys and girls, parents, community members provided with information relevant for education",#,,103000,43225,[RES2.1.4]Community Training,EDU[RES2.1]Teacher Training JOR,2015-10,JOR001,436,WVI,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,EDUCATION,Community Training,Teacher Training JOR,1701,AJLOUN
14,Ajlun Governorate,652847580,2133369430,# of households targeted with programmes and events on the benefit of energy saving practices,# HH,,50,43242,[RES1.1.3]Awarenesss events,ENG[RES1.1]Energy Efficiency,2016-01,JOR001,20,NRC,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,ENERGY,Awarenesss events,Energy Efficiency,1701,AJLOUN
15,Ajlun Governorate,652847580,1403132575,# of functional community-based structures & initiatives  aimed at improving overall well-being of children and other community members (including education),#,,10,43225,[RES2.1.4]Community Training,EDU[RES2.1]Teacher Training JOR,2015-10,JOR001,436,WVI,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,EDUCATION,Community Training,Teacher Training JOR,1701,AJLOUN
16,Ajlun Governorate,652847580,1833047238,Budget Requirement for 2016,USD $,,50000,43386,[RES1.2.3]Replace Tertiary  Distrb,WASH[RES1.2]YWC Distribute Water,2016-01,JOR001,253,Mercy Corps,,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,WASH,Replace Tertiary  Distrb,YWC Distribute Water,1701,AJLOUN
17,Ajlun Governorate,652847580,1963631051,% already funded?  Enter % of financial requirements that are already funded (100% if fully funded; 0% if not yet funded),%,,100,43228,[RES2.2.3]Engage Parents etc,"EDU[RES2.2]Safe, Violence-Free, Learning for JOR",2015-10,JOR001,436,WVI,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,EDUCATION,Engage Parents etc,"Safe, Violence-Free, Learning for JOR",1701,AJLOUN
18,Ajlun Governorate,652847580,1008608038,Budget Requirement for 2016,USD $,,212799.26,43231,[RES3.2.1]Constr. Schools,EDU[RES3.2]Formal Educ. for JOR,2015-10,JOR001,436,WVI,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,EDUCATION,Constr. Schools,Formal Educ. for JOR,1701,AJLOUN
19,Ajlun Governorate,652847580,772557742,# of solar water heaters installed,# HH,,150,43245,[RES1.2.3]Solar Water heaters,ENG[RES1.2]RE&EE Solutions,2016-01,JOR001,20,NRC,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,ENERGY,Solar Water heaters,RE&EE Solutions,1701,AJLOUN
20,Ajlun Governorate,652847580,1213908216,Budget Requirement for 2016,USD $,,48820,43230,[RES3.1.1]KG teachers trained on ECE,EDU[RES3.1]KG for JOR,2015-10,JOR001,436,WVI,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,EDUCATION,KG teachers trained on ECE,KG for JOR,1701,AJLOUN
21,Ajlun Governorate,652847580,1280805560,% already funded?  Enter % of financial requirements that are already funded (100% if fully funded; 0% if not yet funded),%,,0,43243,[RES1.2.1]LED Lights,ENG[RES1.2]RE&EE Solutions,2016-01,JOR001,20,NRC,direct,,35.71104,32.2968,Ajlun,North,,,,,4514,JOR 3RP PLAN 2016 - RESILIENCE,ENERGY,LED Lights,RE&EE Solutions,1701,AJLOUN
