"","Governorate","sector","activity","Partner","Area","Refugee.Camps","End","Total","Objective","Sector","Output","Implementation","RegionCODE","Area2","units"
"1","Ajlun","EDU[RES2.2]Safe, Violence-Free, Learning for JOR","[RES2.2.3]Engage Parents etc","WVI","Ajlun Governorate",,"2015-10",8,"Safe, Violence-Free, Learning for JOR","EDUCATION","Engage Parents etc","direct",1701,"AJLOUN","#"
"2","Ajlun","EDU[RES3.1]KG for JOR","[RES3.1.1]KG teachers trained on ECE","WVI","Ajlun Governorate",,"2015-10",4,"KG for JOR","EDUCATION","KG teachers trained on ECE","direct",1701,"AJLOUN","#"
"3","Ajlun","EDU[RES3.1]KG for JOR","[RES3.1.1]KG teachers trained on ECE","WVI","Ajlun Governorate",,"2015-10",48820,"KG for JOR","EDUCATION","KG teachers trained on ECE","direct",1701,"AJLOUN","USD $"
"4","Ajlun","EDU[RES2.2]Safe, Violence-Free, Learning for JOR","[RES2.2.3]Engage Parents etc","WVI","Ajlun Governorate",,"2015-10",48820,"Safe, Violence-Free, Learning for JOR","EDUCATION","Engage Parents etc","direct",1701,"AJLOUN","USD $"
"5","Ajlun","ENG[RES1.2]RE&EE Solutions","[RES1.2.1]LED Lights","NRC","Ajlun Governorate",,"2016-01",100,"RE&EE Solutions","ENGINEERING","LED Lights","direct",1701,"AJLOUN","# HH"
"6","Ajlun","ENG[RES1.2]RE&EE Solutions","[RES1.2.2]PV panel systems","NRC","Ajlun Governorate",,"2016-01",330508,"RE&EE Solutions","ENGINEERING","PV panel systems","direct",1701,"AJLOUN","USD $"
"7","Ajlun","EDU[RES3.1]KG for JOR","[RES3.1.1]KG teachers trained on ECE","WVI","Ajlun Governorate",,"2015-10",100,"KG for JOR","EDUCATION","KG teachers trained on ECE","direct",1701,"AJLOUN","%"
"8","Ajlun","ENG[RES1.2]RE&EE Solutions","[RES1.2.2]PV panel systems","NRC","Ajlun Governorate",,"2016-01",22,"RE&EE Solutions","ENGINEERING","PV panel systems","direct",1701,"AJLOUN","%"
"9","Ajlun","EDU[RES2.2]Safe, Violence-Free, Learning for JOR","[RES2.2.3]Engage Parents etc","WVI","Ajlun Governorate",,"2015-10",100,"Safe, Violence-Free, Learning for JOR","EDUCATION","Engage Parents etc","direct",1701,"AJLOUN","%"
"10","Ajlun","EDU[RES3.2]Formal Educ. for JOR","[RES3.2.1]Constr. Schools","WVI","Ajlun Governorate",,"2015-10",100,"Formal Educ. for JOR","EDUCATION","Constr. Schools","direct",1701,"AJLOUN","%"
"11","Ajlun","ENG[RES1.1]Energy Efficiency","[RES1.1.3]Awarenesss events","NRC","Ajlun Governorate",,"2016-01",0,"Energy Efficiency","ENGINEERING","Awarenesss events","direct",1701,"AJLOUN","%"
"12","Ajlun","ENG[RES1.2]RE&EE Solutions","[RES1.2.2]PV panel systems","NRC","Ajlun Governorate",,"2016-01",9,"RE&EE Solutions","ENGINEERING","PV panel systems","direct",1701,"AJLOUN","# HH"
"13","Ajlun","EDU[RES3.2]Formal Educ. for JOR","[RES3.2.1]Constr. Schools","WVI","Ajlun Governorate",,"2015-10",212799.26,"Formal Educ. for JOR","EDUCATION","Constr. Schools","direct",1701,"AJLOUN","USD $"
"14","Ajlun","ENG[RES1.2]RE&EE Solutions","[RES1.2.3]Solar Water heaters","NRC","Ajlun Governorate",,"2016-01",165254,"RE&EE Solutions","ENGINEERING","Solar Water heaters","direct",1701,"AJLOUN","USD $"
"15","Ajlun","EDU[RES3.2]Formal Educ. for JOR","[RES3.2.1]Constr. Schools","WVI","Ajlun Governorate",,"2015-10",20,"Formal Educ. for JOR","EDUCATION","Constr. Schools","direct",1701,"AJLOUN","#"
"16","Ajlun","ENG[RES1.2]RE&EE Solutions","[RES1.2.3]Solar Water heaters","NRC","Ajlun Governorate",,"2016-01",150,"RE&EE Solutions","ENGINEERING","Solar Water heaters","direct",1701,"AJLOUN","# HH"
"17","Ajlun","ENG[RES1.1]Energy Efficiency","[RES1.1.3]Awarenesss events","NRC","Ajlun Governorate",,"2016-01",50,"Energy Efficiency","ENGINEERING","Awarenesss events","direct",1701,"AJLOUN","# HH"
"18","Ajlun","ENG[RES1.2]RE&EE Solutions","[RES1.2.1]LED Lights","NRC","Ajlun Governorate",,"2016-01",4853,"RE&EE Solutions","ENGINEERING","LED Lights","direct",1701,"AJLOUN","USD $"
"19","Ajlun","WASH[RES1.2]YWC Distribute Water","[RES1.2.3]Replace Tertiary  Distrb","Mercy Corps","Ajlun Governorate",,"2016-01",50000,"YWC Distribute Water","WASH","Replace Tertiary  Distrb",,1701,"AJLOUN","USD $"
"20","Ajlun","EDU[RES2.1]Teacher Training JOR","[RES2.1.4]Community Training","WVI","Ajlun Governorate",,"2015-10",48820,"Teacher Training JOR","EDUCATION","Community Training","direct",1701,"AJLOUN","USD $"
